#VERSION 2
#CUTPLANS
{c7db6a84-d7e5-40f3-98d0-e8745b0245bf};34;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-C-061;11379328;;RST-C-061;1525
{415d4fb1-b97d-4216-aea0-96798b6cf322};3;K;3.2;KERF;{7ae9d0eb-c0dd-4153-aa77-d77317c1f462};297
{415d4fb1-b97d-4216-aea0-96798b6cf322};4;P;3750;MAT-S-796;{8c2b45a8-17bf-404c-8ac9-5b4fc87b98f7};298
{415d4fb1-b97d-4216-aea0-96798b6cf322};5;K;3.2;KERF;{8c2b45a8-17bf-404c-8ac9-5b4fc87b98f7};298
{7e320a77-b20e-4e52-a446-53aa96005e5d};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{7e320a77-b20e-4e52-a446-53aa96005e5d};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{7e320a77-b20e-4e52-a446-53aa96005e5d};2;P;2339;MAT-S-799;{9f06ce86-83c8-4e4f-adbe-a709900c5c58};289
{7e320a77-b20e-4e52-a446-53aa96005e5d};3;K;2;KERF;{9f06ce86-83c8-4e4f-adbe-a709900c5c58};289
{7e320a77-b20e-4e52-a446-53aa96005e5d};4;P;2324;MAT-S-800;{2b7f203d-0051-4428-be14-6bd0759294c2};291
{7e320a77-b20e-4e52-a446-53aa96005e5d};5;K;2;KERF;{2b7f203d-0051-4428-be14-6bd0759294c2};291
{add19b1b-5958-4de3-8b69-efdc6faddfc8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{add19b1b-5958-4de3-8b69-efdc6faddfc8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{add19b1b-5958-4de3-8b69-efdc6faddfc8};2;P;2445;MAT-S-803;{d667023f-3842-4b8f-8005-233e1efebc0f};289
{add19b1b-5958-4de3-8b69-efdc6faddfc8};3;K;3.2;KERF;{d667023f-3842-4b8f-8005-233e1efebc0f};289
{add19b1b-5958-4de3-8b69-efdc6faddfc8};4;P;2430;MAT-S-804;{fd491944-690f-4f7c-a8d1-184fcbb4b57e};291
{add19b1b-5958-4de3-8b69-efdc6faddfc8};5;K;3.2;KERF;{fd491944-690f-4f7c-a8d1-184fcbb4b57e};291
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};2;P;2275;MAT-S-807;{c76fc531-b78a-420a-ad17-fc01567b7d05};289
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};3;K;2;KERF;{c76fc531-b78a-420a-ad17-fc01567b7d05};289
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};4;P;2260;MAT-S-808;{780ed2d0-88b3-46b9-bc51-ce4830bbaf65};291
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};5;K;2;KERF;{780ed2d0-88b3-46b9-bc51-ce4830bbaf65};291
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};2;P;2420;MAT-S-811;{bd4d49a7-175b-4399-8ff4-d2e81bb57768};289
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};3;K;3.2;KERF;{bd4d49a7-175b-4399-8ff4-d2e81bb57768};289
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};4;P;2405;MAT-S-812;{4a57f4c1-9b62-4bf5-99a2-bac7904ff1cb};291
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};5;K;3.2;KERF;{4a57f4c1-9b62-4bf5-99a2-bac7904ff1cb};291
{2ef9f44b-8a1e-4e82-9470-632602bb35b4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2ef9f44b-8a1e-4e82-9470-632602bb35b4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2ef9f44b-8a1e-4e82-9470-632602bb35b4};2;P;1807;MAT-S-815;{978c9a21-bab4-4c87-a927-dc95d60ce558};297
{2ef9f44b-8a1e-4e82-9470-632602bb35b4};3;K;3.2;KERF;{978c9a21-bab4-4c87-a927-dc95d60ce558};297
{4dc5d9e5-8945-458b-a900-74decbbea9b4};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{4dc5d9e5-8945-458b-a900-74decbbea9b4};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{4dc5d9e5-8945-458b-a900-74decbbea9b4};2;P;1819;MAT-S-818;{fd8a3389-fd3b-4b9f-a62e-c6b921100987};297
{4dc5d9e5-8945-458b-a900-74decbbea9b4};3;K;2;KERF;{fd8a3389-fd3b-4b9f-a62e-c6b921100987};297
{7f40e195-5b88-4c62-a827-ce8a045f65cb};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{7f40e195-5b88-4c62-a827-ce8a045f65cb};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{7f40e195-5b88-4c62-a827-ce8a045f65cb};2;P;3669;MAT-S-821;{bc55e157-aee4-423a-84ed-a5d00f61c9e0};298
{7f40e195-5b88-4c62-a827-ce8a045f65cb};3;K;2;KERF;{bc55e157-aee4-423a-84ed-a5d00f61c9e0};298
#PIECES
{c7db6a84-d7e5-40f3-98d0-e8745b0245bf};{04d84606-eed1-4af3-9503-596b2b6e4dc2};1525;NP-BAR22-3000;297
{50ab31b2-8122-4481-89a9-4122fdc62fb9};{f6d4df46-acba-4db7-9a79-ef3897e4e381};3000;NP-BAR22-3000;298
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};{507320cf-0db2-4a0d-84dd-77376efbfd8f};2327;NP-CZ-9010;289
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};{209c554a-934b-46ab-b152-0fd1bb64407f};1107;NP-CZ-9010;292
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};{9f8bf118-6c6f-4407-b45f-928fe216f37c};2347;NP-CZ-9010;293
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};{bcdb5c59-7584-47b9-a129-19a961024bc0};1002;NP-CZ-9010;294
{0910f962-561f-4b2d-9949-d9531f619362};{3a36ee73-4b2e-4772-a824-adadd6769837};995;NP-TF-9010;290
