#VERSION 2
#CUTPLANS
{757395d6-b93b-45d1-ab30-f362d42ab0f4};23;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;37287716;;RSM-561;1305
{8e054b5a-2e0d-432b-ae89-18132e297f14};{142583e9-59df-4c2c-abf7-ff23310aa664};1650;NP-T;205
{fe37d94b-634c-4266-85d7-9f93a6d975db};{0eb75682-903a-4db8-b5cd-a9d69eaca9a6};1475;NP-SZ;206
{681eb00a-b8c3-4a20-bd23-b1fa86826f9d};{4df1779f-339c-476c-8b73-d9c323686b9b};1458;NP-ROLL70-7000;206
{b873602b-b7ff-4366-b199-a291b9d57ca4};{e5a47b30-143d-479d-a949-1d46bb31c96d};1650;NP-TF;205
{dd5f6d55-854e-4540-a2fd-a078d914b696};{17ce4a45-74aa-4e91-92f9-abdf5c9b7b97};1615;NP-SZ;205
{a1d9d5ab-1607-410b-a6ba-14dcd7feec56};{2556182c-a056-42ef-9df8-ed569e178448};2834;NP-ROLL70-7000;209
{8bc3ea16-34b9-47da-80f7-b159cccb7409};{70b4d626-baec-43e8-8229-7a33f25abcc2};2940;NP-TF-9010;209
{56fdc259-2a98-488a-b5d4-6bee963efad0};{3df08453-8e07-46c5-b48e-4ea03eda161a};1560;NP-BAR12-4000;204
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};{6db77ee7-9c44-4d72-be63-4d2bc06c5c24};2495;NP-T-9010;192
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};{59b38f29-efcd-4f44-8776-688eca3e3e94};2915;NP-T-9010;209
{a9d391ab-9473-4730-946e-ae941b51409a};{e8f03c8a-8c2e-4963-8057-616ab7ea8e9f};1640;NP-TF;204
{a9d391ab-9473-4730-946e-ae941b51409a};{7baa7054-1457-4d02-84b5-315759b04850};1510;NP-TF;206
{4c0a1252-539b-4056-a293-6a7c21c4a82e};{e3c705b5-0a6e-42f7-971f-0b8d940432ec};2822;NP-CZ-9010;209
{3200dd3c-0fb3-482e-9fd9-6935185fc758};{69db8ccc-47d4-4033-be32-70259420b5ef};2770;NP-BAR20-6000;209
{4b8ec267-f28c-4de7-9389-ac15ec9b637a};{356482fc-464c-434b-a2b0-8239ef8d6fd2};1510;NP-T;206
{e0e8f80f-d040-41b6-a27d-4e265b2f5b25};{dae56326-4d30-47d9-8cb7-3c26c973a43b};1605;NP-SZ;204
{5464ca81-41d0-48c4-9176-56f307c87f32};{e26c715e-30a8-40d2-aa5e-b563b1f000c5};2867;NP-CLT-9010;209
{838ec82d-07e0-40f2-aef1-4ffa4d39f261};{2ecfc744-6671-48a0-8ceb-9e4ba1c3f088};2443;NP-ROLL70-7000;192
{958bea64-4660-449d-b7cf-0ddd81bca5f0};{6b3949ad-3294-4e26-882e-0d894b298781};2495;NP-TF-9010;192
{465ff1af-efb2-425c-a9fd-55b1958ec0d3};{7312eccb-fde5-43aa-a995-6e2697591b66};2460;NP-SZ-9010;192
{c0dbdd1d-f324-4947-8be8-525a01686e55};{23d5ead2-fc4e-49af-9e82-7e908c811fe5};2867;NP-CL-9010;209
{c67fe23e-752c-4c40-b9ed-f3e226ec90aa};{e866d3ce-e7c6-4766-ae32-a5178325786a};2415;NP-BAR12-4000;192
{37d94171-7f41-42cb-8afd-17c6e8004883};{99e714d4-6d9a-418d-8e83-2080e1ecc11d};2867;NP-CLB;209
#LEFTOVERS
{757395d6-b93b-45d1-ab30-f362d42ab0f4};selejt;0
{7d61e580-1884-4ce8-9a9c-000e49e26dd5};selejt;460
{37e2b26e-42a7-4e94-81b6-57f07af8f207};selejt;6
{8e054b5a-2e0d-432b-ae89-18132e297f14};selejt;603.6
{fe37d94b-634c-4266-85d7-9f93a6d975db};selejt;96.8
{681eb00a-b8c3-4a20-bd23-b1fa86826f9d};selejt;560
{b873602b-b7ff-4366-b199-a291b9d57ca4};selejt;546.8
{dd5f6d55-854e-4540-a2fd-a078d914b696};selejt;361.8
{a1d9d5ab-1607-410b-a6ba-14dcd7feec56};RST-B-785;2162
{8bc3ea16-34b9-47da-80f7-b159cccb7409};selejt;606.8
{56fdc259-2a98-488a-b5d4-6bee963efad0};selejt;78
