#VERSION 2
#CUTPLANS
{2fcfcb16-9be4-445a-9f64-a6dc08e907dd};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-483;20454660;;RSM-483;1730
{945a55c5-6d35-433e-8abe-89daba2aa150};1;K;3.2;KERF;{8321365d-07c9-47df-b495-2861f40a082a};245
{e3a53807-d58c-4842-b8c9-4e20b7d41562};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{e3a53807-d58c-4842-b8c9-4e20b7d41562};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{e3a53807-d58c-4842-b8c9-4e20b7d41562};2;P;1743;MAT-Q-683;{90ad7862-844e-4136-8c93-f6d1ae20542f};244
{e3a53807-d58c-4842-b8c9-4e20b7d41562};3;K;2;KERF;{90ad7862-844e-4136-8c93-f6d1ae20542f};244
{5947cd13-ea8b-4680-b1e8-18257f0a8c20};0;P;1832;MAT-Q-685;{2eeedf47-47b2-4748-944d-6e3703f46158};241
{5947cd13-ea8b-4680-b1e8-18257f0a8c20};1;K;3.2;KERF;{2eeedf47-47b2-4748-944d-6e3703f46158};241
{533634c6-2988-403b-b916-bab7d2499a43};0;P;2005;MAT-Q-690;{2592c140-b10f-445e-8ffe-8a2d3460e7b7};245
{533634c6-2988-403b-b916-bab7d2499a43};1;K;3.2;KERF;{2592c140-b10f-445e-8ffe-8a2d3460e7b7};245
#PIECES
{2fcfcb16-9be4-445a-9f64-a6dc08e907dd};{5f147eb0-e4f2-4529-8346-0f1ee096fda9};1730;NP-BAR12-4000;236
{323daec1-1ea3-4bf8-bc48-e61ebc57baa4};{44f928e4-83fb-494f-afc4-078e831f7316};1899;NP-ROLL70-5000;245
{7f0f046c-273e-45fd-8f9a-7bbd23bc709b};{a59593d6-84fa-4da3-ad60-43d0f7ec15b6};1844;NP-ROLL70-5000;241
{525a21a2-26d7-4c7b-a9a5-e524c20e430b};{37dfbee7-459c-4677-b73b-5ce42e750bdf};2225;NP-TF-9010;236
