#VERSION 2
#CUTPLANS
{b383ae63-71cc-42b6-94d0-73c8fbb5a448};0;P;2845;MAT-U-910;{33d0c987-7cda-450f-8192-c6711994720e};311 1/2
{b383ae63-71cc-42b6-94d0-73c8fbb5a448};1;K;3.2;KERF;{33d0c987-7cda-450f-8192-c6711994720e};311 1/2
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};2;P;2075;MAT-U-913;{40a4c299-f1f4-4438-94ad-4dc1afbef8b0};326
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};3;K;3.2;KERF;{40a4c299-f1f4-4438-94ad-4dc1afbef8b0};326
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};4;P;2325;MAT-U-914;{461808a5-95cc-4157-812d-8e02ad974fcb};327
{d160a1bd-605b-485c-af1f-2a8ad0d10bac};5;K;3.2;KERF;{461808a5-95cc-4157-812d-8e02ad974fcb};327
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};2;P;2820;MAT-U-917;{037c826f-0696-48ab-92fa-d9a23379fecc};311 1/2
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};3;K;3.2;KERF;{037c826f-0696-48ab-92fa-d9a23379fecc};311 1/2
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};4;P;2820;MAT-U-918;{28f7fd58-9e64-450f-be77-ccde5b932450};311 2/2
{a6e443d9-2a9a-4fd1-a57f-7339a039c6f6};5;K;3.2;KERF;{28f7fd58-9e64-450f-be77-ccde5b932450};311 2/2
{5b72d094-f114-4a1a-a126-244372687421};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5b72d094-f114-4a1a-a126-244372687421};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5b72d094-f114-4a1a-a126-244372687421};2;P;2145;MAT-U-921;{f4dd64c0-c1e5-4095-a71b-d9c2e539db1b};326
{5b72d094-f114-4a1a-a126-244372687421};3;K;3.2;KERF;{f4dd64c0-c1e5-4095-a71b-d9c2e539db1b};326
{5b72d094-f114-4a1a-a126-244372687421};4;P;2395;MAT-U-922;{a5b4a0b5-d462-4f67-8550-f848900f5e8b};327
{5b72d094-f114-4a1a-a126-244372687421};5;K;3.2;KERF;{a5b4a0b5-d462-4f67-8550-f848900f5e8b};327
{0cbe2552-de57-4da8-9fba-1b7715802ba6};0;P;2997;MAT-U-924;{9c090e1b-3948-48c6-97a5-4729a564d189};311 1/2
{0cbe2552-de57-4da8-9fba-1b7715802ba6};1;K;3.2;KERF;{9c090e1b-3948-48c6-97a5-4729a564d189};311 1/2
{e9878f0a-90c6-4a7c-b596-93502380556c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e9878f0a-90c6-4a7c-b596-93502380556c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e9878f0a-90c6-4a7c-b596-93502380556c};2;P;2997;MAT-U-926;{3902a91e-a2b3-4cac-8341-a03a7aca7bad};311 2/2
{e9878f0a-90c6-4a7c-b596-93502380556c};3;K;3.2;KERF;{3902a91e-a2b3-4cac-8341-a03a7aca7bad};311 2/2
{6836a4a4-81e2-452a-8e04-52dca2adf21f};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{6836a4a4-81e2-452a-8e04-52dca2adf21f};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{6836a4a4-81e2-452a-8e04-52dca2adf21f};2;P;2280;MAT-U-929;{1c679013-51dd-4cb4-802a-d374be918225};327
{6836a4a4-81e2-452a-8e04-52dca2adf21f};3;K;2;KERF;{1c679013-51dd-4cb4-802a-d374be918225};327
{9fb99be6-380f-4769-a799-62e4d26ee2cf};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{9fb99be6-380f-4769-a799-62e4d26ee2cf};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{9fb99be6-380f-4769-a799-62e4d26ee2cf};2;P;2356;MAT-U-932;{c3fdb4d0-bb00-4593-9a79-a9a5dc9b1310};327
{9fb99be6-380f-4769-a799-62e4d26ee2cf};3;K;2;KERF;{c3fdb4d0-bb00-4593-9a79-a9a5dc9b1310};327
{fe9ec26c-c1b1-4051-839f-c327086594d0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fe9ec26c-c1b1-4051-839f-c327086594d0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fe9ec26c-c1b1-4051-839f-c327086594d0};2;P;2727;MAT-U-935;{4f73a093-73a6-456b-bc35-af71bd979144};311 2/2
{fe9ec26c-c1b1-4051-839f-c327086594d0};3;K;3.2;KERF;{4f73a093-73a6-456b-bc35-af71bd979144};311 2/2
{4886e9d4-b64d-4cb1-8648-bdebb15523fa};0;P;2845;MAT-U-937;{5ba5cdc8-6509-4b6d-934b-cab71f364ffc};311 2/2
{4886e9d4-b64d-4cb1-8648-bdebb15523fa};1;K;3.2;KERF;{5ba5cdc8-6509-4b6d-934b-cab71f364ffc};311 2/2
#PIECES
{2b0c4ff6-6bd8-4f74-848e-715666677d29};{1adbc6fd-3ac7-404d-9e91-f8d52f46194c};1720;NP-BAR12-4000;326
{0072add7-b9dc-411a-9a92-6354770295d6};{0a997966-0818-4d38-bc2e-18239eb8ebd5};2856;NP-ROLL70-5000;325 1/2
{0072add7-b9dc-411a-9a92-6354770295d6};{0a1654e1-2e54-4011-8ed1-dcc5478bb820};2106;NP-ROLL70-5000;326
{195a1fc3-13de-4c07-b8d4-e719b85cd0a9};{9629bfae-2a71-4689-bda6-2a5b2e56da5f};285;NP-BAR12-4000;326
{3ead0791-3557-467f-9165-378ee28f8968};{066daa9e-c43d-4107-ba3a-ff35a0cc1fca};2856;NP-ROLL70-5000;325 2/2
{25a757c7-17db-4bc5-838f-cab3638591d0};{f3974d7e-3062-47fd-8c5b-3def1cccf04f};2048;NP-SL2;325 1/2
{25a757c7-17db-4bc5-838f-cab3638591d0};{aad46370-a010-43f5-a892-97f14fb6bccf};2048;NP-SL2;325 2/2
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};{8b33aab6-bced-416f-b84f-02d447d03d48};2048;NP-SL2;326
{6d7fa647-1cbc-4dcd-a02f-9e5cd66a0fb7};{f542bcf9-9a89-40b1-b0be-6e6c6779370f};2048;NP-SL2;327
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};{7ecf4dc2-26b4-4633-8aaf-c149e5bc795c};2895;NP-TF;325 1/2
{6f07ee2d-1a82-47c9-a05d-d19d68fe6c07};{a52fd075-2135-4f21-8f0c-c312a7294e5c};2895;NP-TF;325 2/2
