#VERSION 2
#CUTPLANS
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};{716e4e39-5ff0-4cb5-a19b-b1f1f10e1b73};2609;NP-ROLL70-5000;305
{b97b82fa-597f-4ec1-a157-dbf9501cd099};{1928a32d-7678-41a3-82a2-f02ac91d18c5};2615;NP-TF-9010;304
{71121214-b247-4d9a-afa2-5525ee7cff42};{f406852c-d6f7-4adb-83f4-93b9398c0cfc};2267;NP-CLB2;304
#LEFTOVERS
{1fa6c24b-53f2-411b-97e9-2df0b9b70e63};selejt;0
{0baca208-04b3-4f4c-b58f-702eafc53c55};selejt;332.2
{18f4ee5b-0624-457f-8b54-075a92c34ebf};selejt;606.8
{ed54ee58-4fc8-4880-b07e-e086aa584bd4};selejt;391.2
{74eba19a-0f1a-47c6-8cd2-d24ff1cad028};RST-C-559;823
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};selejt;191.2
{b94298ee-a583-4483-8b86-58a1d46750cd};selejt;629
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};selejt;257.2
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};RST-C-560;1154
{e757c083-b815-4e4c-a53a-dd00a106c300};selejt;99
{824c9b23-fba6-42d8-869f-b3a071836497};selejt;149
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};selejt;695.4
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};RST-C-561;3101.4
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};RST-C-562;2264
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};RST-C-563;2471.4
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};RST-C-564;876
{b97b82fa-597f-4ec1-a157-dbf9501cd099};RST-C-565;3363.6
{71121214-b247-4d9a-afa2-5525ee7cff42};RST-C-566;1419.8
