#VERSION 2
#CUTPLANS
{9d199d18-bbe7-48c3-89ac-58e2c36d598b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9d199d18-bbe7-48c3-89ac-58e2c36d598b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9d199d18-bbe7-48c3-89ac-58e2c36d598b};2;P;1675;MAT-CM-902;{434180b6-d81f-4a37-a2b3-190ef4b961d7};232
{9d199d18-bbe7-48c3-89ac-58e2c36d598b};3;K;3.2;KERF;{434180b6-d81f-4a37-a2b3-190ef4b961d7};232
{1f465a2b-97aa-4ad7-8b2f-6a7b11a87e51};0;P;1180;MAT-CM-904;{7dd96cf1-a88e-43e3-b443-93353fc6c67e};230
{1f465a2b-97aa-4ad7-8b2f-6a7b11a87e51};1;K;2;KERF;{7dd96cf1-a88e-43e3-b443-93353fc6c67e};230
#PIECES
{04629b7b-4666-48ad-8a2c-d1c2a8be39c0};{b41b78cb-a1f0-4eaf-b314-3b5d6900b519};3000;NP-BAR22-3000;223
{af0da386-1a2a-4525-8bd8-b835f67b0f9c};{41836110-220d-4619-9166-ec01184eeefc};1000;NP-BAR22-3000;231
{1df325f8-7e87-478f-bed0-0b72a6cce2b4};{96fccdbd-8fa3-459c-b4e1-36bb2dc64d03};1330;NP-BAR22-3000;232
{26362186-e775-4e99-a334-41eec2aa5067};{e9189f7b-a718-448a-b414-e7b603fb76a0};1232;NP-CZ;230
{26362186-e775-4e99-a334-41eec2aa5067};{eb70e076-f445-44ec-ab8d-a960e863d3d2};1557;NP-CZ;232
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};{4670a90c-da55-4112-9abb-4fbcb77679aa};3190;NP-T;223
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};{2d369abf-7550-47a2-bbd6-d5d026916257};1325;NP-T;230
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};{c501c9e3-f688-4996-a7dd-0e169b374e32};1275;NP-T;231
{fd28a8ba-1b36-432b-a60f-f4fc39753619};{19f6d708-fa0e-4ce5-9b30-0321f70f4313};1244;NP-ROLL70-5000;230
{fd28a8ba-1b36-432b-a60f-f4fc39753619};{b9753d7a-feef-47e7-be84-230d81398043};1569;NP-ROLL70-5000;232
{451f9fa2-743d-4a1b-865c-b52bfe0fabf1};{c5434398-4ac1-4ad4-a377-85e8cc4fbda1};1647;NP-CLT;223
