#VERSION 2
#CUTPLANS
{da6fedfe-3139-445d-8997-54745b25cea4};{28069150-517f-4974-9169-e1553226a327};2125;NP-BAR22-3000;148
{6a14fa6b-323a-4d8d-8a0b-95c23ab4424a};{19b83b45-c240-48a4-bd3a-975bfac41982};2448;NP-SL-7016;133
#LEFTOVERS
{67368562-0b20-4091-bfc1-60994ceb5454};selejt;0
{f649d8b5-8677-4a1f-b65a-23d336a7542a};selejt;0
{4471cedf-ce33-44fc-985f-6b0222fe218d};selejt;0
{3a21e3fc-8c2a-4470-b841-451153a2348b};selejt;66
{a9fcf0dc-6425-4127-8a23-11aaecc89a46};RST-B-520;1190.4
{2b0b31f7-0535-47f6-a169-acf194a49771};selejt;101.8
{7a82f9db-7752-4587-b835-3ffda5459a83};selejt;274.8
{d373453a-83d4-4558-9bbd-48c95817377f};RST-B-521;894.8
{8271e54c-3fe7-4ee0-9f09-429751d9e6d0};RST-B-522;1881.4
{46d7f140-fd36-453a-9dbf-8dc7646bd086};RST-B-523;4481.6
{c12c4892-7843-43cf-9a27-dc399a6e885d};selejt;431.8
{2b213e3a-1a7c-4d43-927a-99210e84c549};selejt;323
{11ff4bde-445c-47bd-a76b-032d5f35afae};RST-B-524;1549.8
{1fa32f08-98be-4c28-b495-e02b7cd25c04};RST-B-525;1981.4
{d090e5e8-8de8-4cbb-9b89-668ed1faa227};selejt;550
{f84af646-608b-4c28-a173-8bde4c9b1743};RST-B-526;879.8
{48b49ebf-5494-4b74-87aa-5a0a07fe6b78};RST-B-527;3251.6
{ce8fe2a5-e87d-40e6-84db-cb6a95e6c764};RST-B-528;3251.6
{786378c7-b7c8-4486-9719-a70ed49e85cd};RST-B-529;2158.6
{667693ca-52be-48f0-89f9-88ac5cd90732};RST-B-530;2133.6
{6c7ac836-46af-45dd-ba6f-608393d3ae60};selejt;373
{56ab11aa-f256-4556-a127-cfeab3feabde};RST-B-531;1257
{c052cb20-c129-481a-9c60-cf7389ff93e0};RST-B-532;3496.6
{f429ecbd-2a81-4865-8910-133fe2b71480};RST-B-533;4533.6
{8dc91b0f-164a-4216-9f89-14fc0172a779};RST-B-534;2158.6
{5643df16-4954-4b38-8ab2-11c3efb45a33};RST-B-535;2133.6
{d436f83f-18fc-4ffa-acc0-31e79c771434};RST-B-536;903
{da6fedfe-3139-445d-8997-54745b25cea4};RST-B-537;871
{6a14fa6b-323a-4d8d-8a0b-95c23ab4424a};RST-B-538;773.8
