#VERSION 2
#CUTPLANS
{dc577dd0-503f-481d-b817-3f81f72fd263};{e0bfb7dc-5393-4c45-b65a-ea7cbdfbc886};2497;NP-CLB;139
{182a2cc8-5cc1-4306-aa81-3a3fb333522e};{058c8b4c-10f0-4ea7-b3aa-0ef517ee7218};2445;NP-SZ-7016;133
{db9fb201-1b2f-4714-9b20-6002cb32bc6f};{6663c991-d7cf-4ea8-b7ca-b0da953ebd91};3820;NP-T-7016;139
{0dafb529-3214-48f8-91f5-e027892d6a50};{53d8e2c9-796a-4283-a929-9088ef52c5c0};3845;NP-TF-7016;139
{0a448b5e-79b4-4936-a524-f3dc695fee0e};{b52c1d85-0498-47bd-b788-89f56f99cad6};180;NP-BAR12-4000;133
{326e3fc5-66d7-4c72-af5f-dcf39ffd01d5};{84a643e9-4b6d-4f88-86f0-9d24a00be0c9};2125;NP-BAR22-3000;148
{310c91de-8976-480a-980f-ff8aad141b1a};{1c8d6bd7-38eb-42bd-bdb1-721223897f86};2448;NP-SL-7016;133
#LEFTOVERS
{2119fb2c-f84b-4470-b995-c507dcfeda72};selejt;0
{e5ef1d05-94e0-4625-b526-05fecaec8dbd};selejt;0
{2e1f6ebb-81dc-4701-888c-d64237e9860b};selejt;0
{f12af142-2d95-4f41-8d18-67a68786e25b};selejt;66
{24417955-64a1-4c69-981e-e08c5d749996};RST-B-501;1190.4
{7d930f2f-7371-480d-a51a-cb8be6a93dba};selejt;101.8
{0e6626fd-495c-41a3-8121-2b9742109b2c};selejt;274.8
{b1e4d6a5-e93a-44e9-a3d2-030af4247bb4};RST-B-502;894.8
{9e97c9dc-6cad-46fe-b1f2-615685e2bf00};RST-B-503;1881.4
{13ee490f-bc75-4ca2-a4ff-497d8e9bec01};RST-B-504;4481.6
{552446f5-8f75-4a90-8f60-a632d9c6c662};selejt;431.8
{2966d3cf-8d23-4a6c-8fef-725ddef92ebf};selejt;323
{9dc19689-d987-4319-accd-6c67fb87e501};RST-B-505;1549.8
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};RST-B-506;1981.4
{1a80f129-97b5-44d2-88ce-a9614a42e01d};selejt;550
{0f2ce7ab-8876-4d92-9cda-d242a24378ac};RST-B-507;879.8
{4665f971-4d9c-4261-b887-54903f85fa3b};RST-B-508;3251.6
{4c4ccc84-c238-4dfb-bdba-2d2a6a06c480};RST-B-509;3251.6
{59c25a7f-d3a5-44b4-a71a-be0fe84f3fc1};RST-B-510;2158.6
{bfabce8c-10a0-4412-9517-69b41c38c33a};RST-B-511;2133.6
{09c8d8aa-e2d7-4a52-9937-2462bbeb8ca2};selejt;373
{cce8d9f8-5e32-4f6f-80e7-75badaa926a5};RST-B-512;1257
{dc577dd0-503f-481d-b817-3f81f72fd263};RST-B-513;3496.6
{182a2cc8-5cc1-4306-aa81-3a3fb333522e};RST-B-514;4533.6
{db9fb201-1b2f-4714-9b20-6002cb32bc6f};RST-B-515;2158.6
{0dafb529-3214-48f8-91f5-e027892d6a50};RST-B-516;2133.6
{0a448b5e-79b4-4936-a524-f3dc695fee0e};RST-B-517;903
{326e3fc5-66d7-4c72-af5f-dcf39ffd01d5};RST-B-518;871
{310c91de-8976-480a-980f-ff8aad141b1a};RST-B-519;773.8
