#VERSION 2
#CUTPLANS
{87cfa572-0942-4425-b1a0-5f753211699a};{4941daf6-6d52-41c9-9d6c-495858a76c19};1244;NP-ROLL70-5000;230
{87cfa572-0942-4425-b1a0-5f753211699a};{5b81d15e-4925-4826-b557-b9f490dccb93};1569;NP-ROLL70-5000;232
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};{3e38deab-f887-405a-b9fa-ae970273ce98};3190;NP-T;223
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};{e6a03cbd-32f1-41ed-bb8a-986992af4ffc};1325;NP-T;230
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};{48c3965b-ac27-4ceb-b781-24cb3803bc3a};1275;NP-T;231
{31c9d7b0-2c6c-4b45-b7b3-22b34452cabe};{1c1f088b-d31b-4e25-81e6-a6f8ea313793};1647;NP-CL2+CLT2+CLB2;223
{301d4dbe-c393-47ff-87e7-700e05dccdbb};{11279832-21cf-417d-92d6-5df8899a770a};2462;NP-CL2+CLT2+CLB2;230
{301d4dbe-c393-47ff-87e7-700e05dccdbb};{6be27c53-5af5-47af-adc3-085497496be0};2462;NP-CL2+CLT2+CLB2;231
{8c493030-92eb-45a0-a3e7-73102edb744f};{8cb362a5-1101-4bd6-b4df-2076b6d7c980};2462;NP-CL2+CLT2+CLB2;232
{c0670b8f-2e3a-4da0-93c6-f3b398e12de5};{6a3ad2be-20b1-489f-837d-2980b62a9d69};3097;NP-CZ;223
{c0670b8f-2e3a-4da0-93c6-f3b398e12de5};{45a2e48b-ece9-4b87-8437-d9114c6c84a1};1182;NP-CZ;231
{9fb359d1-74bb-4f79-8167-df196861d54b};{0dfb4859-665c-4761-b490-737d98869130};1194;NP-ROLL70-5000;231
{5243c550-fae5-4538-9b74-153d60bacee1};{a535c276-7c1a-46ab-85b5-c1f02ced1274};1675;NP-TF;232
{148a6950-0c81-4ec4-980d-684ed4cd5b55};{3916be88-c02a-47ec-ba59-4015cdfb43e4};1180;NP-BAR22-3000;230
{c0b2bd3f-ab04-43be-ab52-b4a192f8b86e};{8f7b6a7b-886b-47b4-a132-1ead5bfd2091};3109;NP-ROLL70-5000;223
{5bcea148-eda7-4456-957c-18c79563e15b};{071af3d9-86d6-4e89-822e-43c95ee92d0b};1650;NP-T;232
#LEFTOVERS
{440083ac-1209-4657-b76d-231c3405dec4};selejt;0
{da888fa2-e9bd-4f66-904f-a4d65aabcc25};selejt;0
{f8af80dc-c9c2-4d93-bf0a-8996299a9282};selejt;0
{7df57be4-9f3b-4f25-8170-62598ca5131d};selejt;107.2
{74722fe9-ba36-4bab-956b-1d9a5598c26c};RST-J-442;754
{64551c9f-bdf6-4c2f-8472-9732aa37ef76};RST-J-443;1104.6
{87cfa572-0942-4425-b1a0-5f753211699a};RST-J-444;833
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};selejt;182.2
{31c9d7b0-2c6c-4b45-b7b3-22b34452cabe};selejt;149.8
{301d4dbe-c393-47ff-87e7-700e05dccdbb};RST-J-445;2051.4
{8c493030-92eb-45a0-a3e7-73102edb744f};RST-J-446;4516.6
{c0670b8f-2e3a-4da0-93c6-f3b398e12de5};RST-J-447;2696.4
{9fb359d1-74bb-4f79-8167-df196861d54b};RST-J-448;824
{5243c550-fae5-4538-9b74-153d60bacee1};RST-J-449;4303.6
{148a6950-0c81-4ec4-980d-684ed4cd5b55};selejt;3
{c0b2bd3f-ab04-43be-ab52-b4a192f8b86e};RST-J-450;1887
{5bcea148-eda7-4456-957c-18c79563e15b};RST-J-451;4328.6
