#VERSION 2
#CUTPLANS
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};{5dd49090-ed81-45c5-87d9-2ae69ebfbba8};2545;NP-BAR22-3000;305
{5ff5156d-5ba6-438d-a18c-5d4d081c8488};{7b07949c-ba56-417c-96da-c920b2a506c0};2029;NP-ROLL70-5000;303
{531cdfae-5a4d-4421-8153-760a3638aada};{af939e2f-7a25-4535-8ca7-130b49d669fb};2110;NP-T-9010;303
{531cdfae-5a4d-4421-8153-760a3638aada};{683138e2-4157-4a5c-89c2-e1c7d5d5c23d};2690;NP-T-9010;305
{dd98be76-8cd1-4453-ae37-ffa32502ad5b};{04d7ed52-66b5-4d1b-8903-4208b695c0e9};2715;NP-TF-9010;305
{f5e8e6a1-a17f-4ca1-8d61-b6713396d81d};{63720848-cec4-45a0-a88c-b24efe66a9d3};1377;NP-CZ-9010;301
{a4061b35-59bf-4658-bfb2-9d9866168b6a};{b33221de-8b9f-4e06-82be-854782ef5352};1979;NP-ROLL70-5000;302
{8fd5a302-022c-4a92-98a2-3b3594a519d9};{8515fc18-808e-43b6-aa74-7ee3c004c6da};1495;NP-TF-9010;301
{8fd5a302-022c-4a92-98a2-3b3594a519d9};{9a74c58b-5a88-42c2-b070-c47fedd73410};2615;NP-TF-9010;304
{fc518846-098c-4dd8-941b-41408fd5453f};{f845d80a-06d3-4ac0-ac6f-698d3ef82374};2497;NP-CZ-9010;304
{710b3279-ecde-4262-b5b9-b3f8b06068c7};{82cdd19b-6e31-4154-ba8c-cde5ecd2c9aa};1915;NP-BAR22-3000;302
{710b3279-ecde-4262-b5b9-b3f8b06068c7};{b542babb-1c53-47ab-ba2c-4f373e30a924};1965;NP-BAR22-3000;303
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};{0e65ad1d-7e06-4e55-89b4-2e09ed7e94e6};2252;NP-CL2+CLT2+CLB2-9010;303
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};{108d4a57-b0cf-4791-9671-c8406acf391a};2252;NP-CL2+CLT2+CLB2-9010;305
{4943f130-7197-46ea-b609-a5b6b3b78d8b};{e89af58d-3e8e-44de-96d7-d7b5f54890ab};2509;NP-ROLL70-5000;304
{4943f130-7197-46ea-b609-a5b6b3b78d8b};{492f34cc-90b5-423a-bdfa-a38324073b2f};2609;NP-ROLL70-5000;305
{0fe91290-7b40-4bd0-8392-2ba361d79f39};{1bb5fdfa-132f-4578-b816-d3b264e4bc12};1470;NP-T-9010;301
{78cbabd6-2cb9-41ce-995d-a50969db2eab};{d0295389-05cd-4910-8fa3-575da8b68125};1967;NP-CZ-9010;302
{8a4fa4a8-d413-47db-a50b-6dc386011ea2};{ce79c60b-dfd6-417c-b9f6-a53b64cfe504};2267;NP-CLB2;304
#LEFTOVERS
{69b24ca5-e86a-49b0-a869-7e9f884122fc};selejt;0
{7a34431b-3d6f-4f92-83a8-bb543c21cb5a};selejt;118.6
{5afe8e5e-d1d0-4c53-9856-b51582b83b62};selejt;523.6
{b8ef33f6-ccbb-4fe8-9351-1a181ffba3ed};selejt;79.6
{53aa666f-a6fa-4c2f-8f3b-1ddf01f97802};RST-C-541;823
{aa96e795-03cc-4b94-b44a-84d6126a403f};selejt;191.2
{02d8cd0e-f110-4c45-88f4-96eda4a70ad6};selejt;629
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};RST-C-542;1154
{5ff5156d-5ba6-438d-a18c-5d4d081c8488};selejt;99
{531cdfae-5a4d-4421-8153-760a3638aada};RST-C-543;1175.4
{dd98be76-8cd1-4453-ae37-ffa32502ad5b};selejt;606.8
{f5e8e6a1-a17f-4ca1-8d61-b6713396d81d};selejt;644.8
{a4061b35-59bf-4658-bfb2-9d9866168b6a};selejt;149
{8fd5a302-022c-4a92-98a2-3b3594a519d9};RST-C-544;1865.4
{fc518846-098c-4dd8-941b-41408fd5453f};selejt;199.8
{710b3279-ecde-4262-b5b9-b3f8b06068c7};RST-C-545;2264
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};RST-C-546;2471.4
{4943f130-7197-46ea-b609-a5b6b3b78d8b};RST-C-547;876
{0fe91290-7b40-4bd0-8392-2ba361d79f39};RST-C-548;4508.6
{78cbabd6-2cb9-41ce-995d-a50969db2eab};selejt;229.8
{8a4fa4a8-d413-47db-a50b-6dc386011ea2};RST-C-549;1419.8
