#VERSION 2
#CUTPLANS
{85179f60-6f56-4cf0-b27e-96a889407c47};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;38004896;;RSM-481;1720
{6d5289cd-ace2-4f36-9ce9-d971905a9564};1;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-785;2;;MAT-U-785;5000
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};2;NOT_STARTED;Rod-E;NP-TF;CM2;3.2;STOCK;MAT-U-788;2;;MAT-U-788;6000
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};3;NOT_STARTED;Rod-F;NP-T;CM2;3.2;STOCK;MAT-U-792;2;;MAT-U-792;6000
{1376c3c9-85a8-4c80-923a-6ea3df669345};4;NOT_STARTED;Rod-G;NP-ROLL70-6000;CM1;2;REUSABLE;L=2990;2;;L=2990;2990
{afd9757e-8dec-413a-9442-10b3f5ee8962};5;NOT_STARTED;Rod-H;NP-SZ;CM2;3.2;STOCK;MAT-U-798;2;;MAT-U-798;6000
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};6;NOT_STARTED;Rod-J;NP-SL2;CM2;3.2;STOCK;MAT-U-802;2;;MAT-U-802;6000
{393cd10a-f15c-4d0f-9274-44fe2030201f};7;NOT_STARTED;Rod-K;NP-SL2;CM2;3.2;STOCK;MAT-U-805;2;;MAT-U-805;6000
{9fe4ac69-ba32-4354-8c22-0bb3844813ce};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{9fe4ac69-ba32-4354-8c22-0bb3844813ce};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{9fe4ac69-ba32-4354-8c22-0bb3844813ce};2;P;2280;MAT-U-856;{76375335-9e50-44dd-8acf-9dc37f0e5826};327
{9fe4ac69-ba32-4354-8c22-0bb3844813ce};3;K;2;KERF;{76375335-9e50-44dd-8acf-9dc37f0e5826};327
{dd79e537-8000-4eed-8c06-057daf25bf68};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{dd79e537-8000-4eed-8c06-057daf25bf68};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{dd79e537-8000-4eed-8c06-057daf25bf68};2;P;2727;MAT-U-859;{41b73ebf-e0f2-43da-8987-856e510bc3e3};311 2/2
{dd79e537-8000-4eed-8c06-057daf25bf68};3;K;3.2;KERF;{41b73ebf-e0f2-43da-8987-856e510bc3e3};311 2/2
#PIECES
{85179f60-6f56-4cf0-b27e-96a889407c47};{30ab2426-1c7b-4739-a425-76b1217af3a6};1720;NP-BAR12-4000;326
{6d5289cd-ace2-4f36-9ce9-d971905a9564};{cbd68564-f46d-4d08-98bc-5515ecbba8ca};2856;NP-ROLL70-5000;325 1/2
{6d5289cd-ace2-4f36-9ce9-d971905a9564};{8e0507b4-889c-4ddc-85ed-bbf34f9cde3d};2106;NP-ROLL70-5000;326
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};{d54fa76c-fcc3-4be3-aa79-a4f5c6ed0410};2895;NP-TF;325 1/2
{7770a7fd-9a8b-4b16-a3ce-20dd8e060f72};{b2742b2f-41ea-4f8d-84f0-e05c5caef199};2895;NP-TF;325 2/2
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};{9416d294-ed72-487b-8685-d0e23b2a6c17};2895;NP-T;325 1/2
{1ea04aa5-a566-4306-90b5-cc8843dd09d3};{aabb1c91-3f7a-4114-8614-17fe67ae95b5};2895;NP-T;325 2/2
{1376c3c9-85a8-4c80-923a-6ea3df669345};{e939838f-e7ce-411e-a9b0-bac1efe7239e};2856;NP-ROLL70-5000;325 2/2
{afd9757e-8dec-413a-9442-10b3f5ee8962};{44b38d91-8259-4a79-8026-157cec8ade90};2825;NP-SZ;325 1/2
{afd9757e-8dec-413a-9442-10b3f5ee8962};{f423edc6-3e3c-4084-acd5-302db5d86505};2825;NP-SZ;325 2/2
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};{b9462586-d224-4cbc-b2fc-38883cd45cb1};2048;NP-SL2;325 1/2
{836e5bb2-d32b-41a3-8e56-3641f4f0276f};{67a65ba4-cac2-4f34-94cb-25848228d9ff};2048;NP-SL2;325 2/2
{393cd10a-f15c-4d0f-9274-44fe2030201f};{4c9540bf-7042-416b-95c3-2ae02cda5cf2};2048;NP-SL2;326
{393cd10a-f15c-4d0f-9274-44fe2030201f};{fe55614c-40d5-43b5-b270-cd91a6325d0d};2048;NP-SL2;327
{2b2b9c68-9df6-49f8-ac48-727f33aad687};{590f89f8-0237-421d-a44e-c408567dc415};285;NP-BAR12-4000;326
{606ad26d-798d-4ff4-88b1-62e83e951577};{c63d1db0-dfc2-4e77-8526-e6d72cd61ce0};2735;NP-ROLL70-5000;311 1/2
{606ad26d-798d-4ff4-88b1-62e83e951577};{a5e19248-e3d1-4089-8afb-10c3e9a74d46};2735;NP-ROLL70-5000;311 2/2
{9547217a-cd74-4eee-9ec9-216665b79640};{c82f4028-6bee-4bf6-b185-dd34229f803f};2780;NP-BAR12-4000;325 1/2
{2e5bf6da-da0c-49fa-b2f0-8347ea7a7913};{74876b43-0de7-4a2a-8183-1cb0f8afe1f0};2145;NP-TF;326
{2e5bf6da-da0c-49fa-b2f0-8347ea7a7913};{2d80900d-30c4-430d-a530-6431c106ba04};2395;NP-TF;327
{77768494-f636-48ce-9dc7-e38c11467f41};{a9e81373-43dc-408f-9c9f-61c37ccfe8a6};2997;NP-CL2+CLT2+CLB2-9010;311 1/2
{4d5fa1af-f7d6-4a37-8ec2-e768411e69f9};{47388759-ba21-4dd5-aa8e-cbe458f21147};2997;NP-CL2+CLT2+CLB2-9010;311 2/2
{65270111-bbb3-4334-be11-ebbc337783fd};{addba432-65eb-4566-8fb5-33fe9151e47c};2145;NP-T;326
{65270111-bbb3-4334-be11-ebbc337783fd};{86b775cf-5f0f-4133-b89b-7a481cbdc29a};2395;NP-T;327
{5cbce515-c81e-4542-b0e6-feff3721b806};{a420bb75-7810-44df-95ee-6e7667d2af9c};2075;NP-SZ;326
{5cbce515-c81e-4542-b0e6-feff3721b806};{d64e3fe2-de50-4bbc-bbd6-89be62a078a1};2325;NP-SZ;327
{8ea10fc7-000e-49d3-b505-4b6e8f2c5813};{9205c45b-5d2f-40f8-9be4-a3cdb9faec82};2845;NP-TF-9010;311 1/2
