#VERSION 2
#CUTPLANS
{aacb9889-d99f-4dcb-a8dd-0e466d84da22};0;P;180;MAT-N-182;{f91669ce-aaf7-41ea-8f3f-0867057d38a6};133
{aacb9889-d99f-4dcb-a8dd-0e466d84da22};1;K;2;KERF;{f91669ce-aaf7-41ea-8f3f-0867057d38a6};133
{967579eb-4809-43e9-aee6-2bc330e5b511};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{967579eb-4809-43e9-aee6-2bc330e5b511};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{967579eb-4809-43e9-aee6-2bc330e5b511};2;P;3845;MAT-N-185;{6634b6eb-9101-49da-bc2d-ebc7ebcc3d7a};139
{967579eb-4809-43e9-aee6-2bc330e5b511};3;K;3.2;KERF;{6634b6eb-9101-49da-bc2d-ebc7ebcc3d7a};139
{2ed781f8-7f24-426f-946e-18698eaf26af};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{2ed781f8-7f24-426f-946e-18698eaf26af};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2ed781f8-7f24-426f-946e-18698eaf26af};2;P;2497;MAT-N-188;{154b30b2-e86d-40b6-a9a9-353864b90438};139
{2ed781f8-7f24-426f-946e-18698eaf26af};3;K;3.2;KERF;{154b30b2-e86d-40b6-a9a9-353864b90438};139
{f6901d76-13b0-4bb9-8d02-8f9d5992d3bc};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f6901d76-13b0-4bb9-8d02-8f9d5992d3bc};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f6901d76-13b0-4bb9-8d02-8f9d5992d3bc};2;P;2445;MAT-N-191;{9fb729c6-6fd4-43a7-96d9-bbae6ffe61f7};133
{f6901d76-13b0-4bb9-8d02-8f9d5992d3bc};3;K;3.2;KERF;{9fb729c6-6fd4-43a7-96d9-bbae6ffe61f7};133
{982ebe8f-fff8-4df2-ac06-b1a8a676a555};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{982ebe8f-fff8-4df2-ac06-b1a8a676a555};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
