#VERSION 2
#CUTPLANS
{01a8ca7c-9c27-4a86-8e49-ca85639a667d};3;K;3.2;KERF;{b194037b-b7e7-423f-a27f-565a9ab9a92d};232
{5699d82a-f776-484d-bb40-1c61ff57ff28};0;P;1194;MAT-CM-625;{da8b8d38-a0b6-4c0b-a0ce-d1c7c9f35d7e};231
{5699d82a-f776-484d-bb40-1c61ff57ff28};1;K;2;KERF;{da8b8d38-a0b6-4c0b-a0ce-d1c7c9f35d7e};231
{b8da3539-5401-40ee-a662-88ced08e7cd6};0;P;1182;MAT-CM-627;{ae7cbcf3-94f9-4829-a896-655167b3852f};231
{b8da3539-5401-40ee-a662-88ced08e7cd6};1;K;3.2;KERF;{ae7cbcf3-94f9-4829-a896-655167b3852f};231
{ff904587-af48-4eb0-879a-1600681eec1d};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{ff904587-af48-4eb0-879a-1600681eec1d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ff904587-af48-4eb0-879a-1600681eec1d};2;P;2462;MAT-CM-630;{96b46190-ab4c-4e45-ba5b-aa2e0034fd52};232
{ff904587-af48-4eb0-879a-1600681eec1d};3;K;3.2;KERF;{96b46190-ab4c-4e45-ba5b-aa2e0034fd52};232
{2ca8b679-9f5d-4a76-b02f-b8eebc4ab8a6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2ca8b679-9f5d-4a76-b02f-b8eebc4ab8a6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2ca8b679-9f5d-4a76-b02f-b8eebc4ab8a6};2;P;1675;MAT-CM-633;{ec8c5c50-2dda-4a90-adc6-5038e8537cc1};232
{2ca8b679-9f5d-4a76-b02f-b8eebc4ab8a6};3;K;3.2;KERF;{ec8c5c50-2dda-4a90-adc6-5038e8537cc1};232
{0593b2bc-fc73-40db-8326-9b4b2f9488fb};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{0593b2bc-fc73-40db-8326-9b4b2f9488fb};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{0593b2bc-fc73-40db-8326-9b4b2f9488fb};2;P;3109;MAT-CM-636;{d781ba05-ccde-49c9-b669-7a4cb4db00da};223
{0593b2bc-fc73-40db-8326-9b4b2f9488fb};3;K;2;KERF;{d781ba05-ccde-49c9-b669-7a4cb4db00da};223
{108b26aa-d2d7-4c3d-8083-b6adeff7974f};0;P;1180;MAT-CM-638;{919f7a54-a13e-45be-9a4c-1719e4fa0073};230
{108b26aa-d2d7-4c3d-8083-b6adeff7974f};1;K;2;KERF;{919f7a54-a13e-45be-9a4c-1719e4fa0073};230
{b05f707b-da19-4396-beb4-ea86367a4a3b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b05f707b-da19-4396-beb4-ea86367a4a3b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b05f707b-da19-4396-beb4-ea86367a4a3b};2;P;1650;MAT-CM-641;{ac0c9431-5f75-493f-a731-56baeec3b173};232
{b05f707b-da19-4396-beb4-ea86367a4a3b};3;K;3.2;KERF;{ac0c9431-5f75-493f-a731-56baeec3b173};232
{a9b9c38c-48b6-4904-8635-f28d12c3dde0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a9b9c38c-48b6-4904-8635-f28d12c3dde0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a9b9c38c-48b6-4904-8635-f28d12c3dde0};2;P;3097;MAT-CM-644;{f1f39373-ba13-4c1d-a81b-b50ad7e07df7};223
{a9b9c38c-48b6-4904-8635-f28d12c3dde0};3;K;3.2;KERF;{f1f39373-ba13-4c1d-a81b-b50ad7e07df7};223
#PIECES
{3693f373-becf-49c6-9f41-b2bf95c7921e};{68251946-341b-454e-a35b-295ee69d532f};3000;NP-BAR22-3000;223
{c1a6f5d2-76a0-451b-adc2-72ea2e3c8c72};{629d59c1-82e0-486d-a0c0-11a05a4da541};1000;NP-BAR22-3000;231
{9258fc90-d05d-4e87-93c4-b8bd12d78d7f};{92a3aaa0-4137-4785-b546-372d52237f94};1330;NP-BAR22-3000;232
{2b41b7ee-d657-4d26-beab-25acd0426968};{cfb59657-9d4c-4247-8bd4-1c459f77f4ff};1647;NP-CLT;223
{3573ed28-6db2-4974-9138-ccbfbc881c69};{72a097e5-5ae0-4170-bd9f-075d8aff276a};1647;NP-CLB;223
{9577846d-c714-4a04-a6ac-d81a681d60ea};{f471a4a7-1189-433e-b212-1afd23f68900};3215;NP-TF;223
{9577846d-c714-4a04-a6ac-d81a681d60ea};{2201634b-f5e2-4641-98c0-61e33a5c3b58};1350;NP-TF;230
{9577846d-c714-4a04-a6ac-d81a681d60ea};{b1975d41-2606-4b28-9063-731940f8c40c};1300;NP-TF;231
{97624ad6-9eb8-482a-aee9-3f38dde11368};{922987e4-58ed-49f7-b8ec-5544121116f1};1244;NP-ROLL70-5000;230
{97624ad6-9eb8-482a-aee9-3f38dde11368};{140eb6a7-3a22-446d-b409-6a18d8d53969};1569;NP-ROLL70-5000;232
{68223729-8628-48b6-a9be-6cfa4005e053};{a73c3122-38de-43ff-8aa6-53f2cc446c4d};45;NP-BAR22-3000;223
{68223729-8628-48b6-a9be-6cfa4005e053};{432c6a12-a27e-46f7-8573-96b6010dbce2};100;NP-BAR22-3000;231
{68223729-8628-48b6-a9be-6cfa4005e053};{bbbe246c-b505-45ae-b1dc-57b293ae7937};145;NP-BAR22-3000;232
{958aa7ed-070c-4384-a845-c899b42e8c52};{d8d7c53f-1395-4fde-83ad-893be925d9bd};3190;NP-T;223
{958aa7ed-070c-4384-a845-c899b42e8c52};{131b83da-795f-4ce6-b0ba-5527f3cbff86};1325;NP-T;230
{958aa7ed-070c-4384-a845-c899b42e8c52};{faff8038-b932-42a5-8350-1902809d5ecc};1275;NP-T;231
{4b7ec862-35d6-48e0-88e5-b01c9434ece2};{bda0580d-f6a2-4947-9d11-eec917ee637a};1232;NP-CZ;230
{4b7ec862-35d6-48e0-88e5-b01c9434ece2};{3eb21f35-b548-4487-af84-2a430fbe24a0};1557;NP-CZ;232
{416e0bc4-168a-4bb1-a1fc-996f209a9a05};{4c430474-73b9-4d1a-84a8-abf7159067ec};1647;NP-CL;223
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};{154cfba9-d0bc-4649-8df7-a9cb576114c3};2462;NP-CLT;230
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};{649545f5-7843-4cb2-b71e-9b89230cb88d};2462;NP-CLT;231
{92afa54c-12af-4a9b-879a-9941c0b69739};{b6379d4f-979b-401a-a765-ad96f463c8e2};2462;NP-CLT;232
{76173041-e88e-4df3-93a5-7733e80432c4};{e0e4cfb0-182c-4874-a6f4-27880263d174};2462;NP-CLB;230
{76173041-e88e-4df3-93a5-7733e80432c4};{6a78ac3e-890e-448e-a4c0-c960d613c871};2462;NP-CLB;231
{b212db96-0a2d-4048-a7d5-8df7421178b9};{e6e633c9-6b0e-43b4-a86d-5bf1c5486a5e};2462;NP-CL;230
{b212db96-0a2d-4048-a7d5-8df7421178b9};{027f8268-9890-4cf5-a401-eb00b7e33ff5};2462;NP-CL;231
{01a8ca7c-9c27-4a86-8e49-ca85639a667d};{b194037b-b7e7-423f-a27f-565a9ab9a92d};2462;NP-CL;232
{5699d82a-f776-484d-bb40-1c61ff57ff28};{da8b8d38-a0b6-4c0b-a0ce-d1c7c9f35d7e};1194;NP-ROLL70-5000;231
{b8da3539-5401-40ee-a662-88ced08e7cd6};{ae7cbcf3-94f9-4829-a896-655167b3852f};1182;NP-CZ;231
{ff904587-af48-4eb0-879a-1600681eec1d};{96b46190-ab4c-4e45-ba5b-aa2e0034fd52};2462;NP-CLB;232
{2ca8b679-9f5d-4a76-b02f-b8eebc4ab8a6};{ec8c5c50-2dda-4a90-adc6-5038e8537cc1};1675;NP-TF;232
{0593b2bc-fc73-40db-8326-9b4b2f9488fb};{d781ba05-ccde-49c9-b669-7a4cb4db00da};3109;NP-ROLL70-5000;223
{108b26aa-d2d7-4c3d-8083-b6adeff7974f};{919f7a54-a13e-45be-9a4c-1719e4fa0073};1180;NP-BAR22-3000;230
{b05f707b-da19-4396-beb4-ea86367a4a3b};{ac0c9431-5f75-493f-a731-56baeec3b173};1650;NP-T;232
{a9b9c38c-48b6-4904-8635-f28d12c3dde0};{f1f39373-ba13-4c1d-a81b-b50ad7e07df7};3097;NP-CZ;223
#LEFTOVERS
{3693f373-becf-49c6-9f41-b2bf95c7921e};selejt;0
{c1a6f5d2-76a0-451b-adc2-72ea2e3c8c72};selejt;0
{9258fc90-d05d-4e87-93c4-b8bd12d78d7f};selejt;0
{2b41b7ee-d657-4d26-beab-25acd0426968};selejt;99.8
{3573ed28-6db2-4974-9138-ccbfbc881c69};selejt;124.8
{9577846d-c714-4a04-a6ac-d81a681d60ea};selejt;107.2
{97624ad6-9eb8-482a-aee9-3f38dde11368};RST-J-262;833
{68223729-8628-48b6-a9be-6cfa4005e053};RST-J-263;754
{958aa7ed-070c-4384-a845-c899b42e8c52};selejt;182.2
{4b7ec862-35d6-48e0-88e5-b01c9434ece2};RST-J-264;1104.6
{416e0bc4-168a-4bb1-a1fc-996f209a9a05};RST-J-265;849.8
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};RST-J-266;2051.4
{92afa54c-12af-4a9b-879a-9941c0b69739};RST-J-267;4516.6
{76173041-e88e-4df3-93a5-7733e80432c4};RST-J-268;1066.4
{b212db96-0a2d-4048-a7d5-8df7421178b9};RST-J-269;2051.4
{01a8ca7c-9c27-4a86-8e49-ca85639a667d};RST-J-270;4516.6
{5699d82a-f776-484d-bb40-1c61ff57ff28};RST-J-271;824
{b8da3539-5401-40ee-a662-88ced08e7cd6};selejt;589.8
{ff904587-af48-4eb0-879a-1600681eec1d};RST-J-272;3531.6
{2ca8b679-9f5d-4a76-b02f-b8eebc4ab8a6};RST-J-273;4303.6
{0593b2bc-fc73-40db-8326-9b4b2f9488fb};RST-J-274;1887
{108b26aa-d2d7-4c3d-8083-b6adeff7974f};selejt;3
{b05f707b-da19-4396-beb4-ea86367a4a3b};RST-J-275;4328.6
{a9b9c38c-48b6-4904-8635-f28d12c3dde0};RST-J-276;3881.6
