#VERSION 2
#CUTPLANS
{b47d219f-6f21-449d-9905-7479eb457da5};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;47387712;;RSM-481;1720
{f62f3f25-f837-43c3-b929-fe875de79996};1;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-709;1;;MAT-U-709;5000
{70d0da7c-fd4d-4e34-9568-2803d04075b8};2;NOT_STARTED;Rod-E;NP-TF;CM2;3.2;STOCK;MAT-U-712;1;;MAT-U-712;6000
{d719a828-da6d-4080-a44b-4d303bb8b1af};3;NOT_STARTED;Rod-F;NP-T;CM2;3.2;STOCK;MAT-U-716;1;;MAT-U-716;6000
{5eee5ff7-3af5-4ce1-bef8-47bd1b7c4af1};4;NOT_STARTED;Rod-G;NP-ROLL70-6000;CM1;2;REUSABLE;L=2990;1;;L=2990;2990
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};5;NOT_STARTED;Rod-H;NP-SZ;CM2;3.2;STOCK;MAT-U-722;1;;MAT-U-722;6000
{6a9ecae5-076f-4c5a-82b7-f125c64de587};1;K;3.2;KERF;{c8b93803-61b8-4c42-98c8-0ad0f8f483ef};311 1/2
{fd239bd1-6337-481c-9ee2-bd0a02538486};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fd239bd1-6337-481c-9ee2-bd0a02538486};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fd239bd1-6337-481c-9ee2-bd0a02538486};2;P;2997;MAT-U-748;{ce99c84c-84fb-42e8-9a8c-1d97cd61a8bb};311 2/2
{fd239bd1-6337-481c-9ee2-bd0a02538486};3;K;3.2;KERF;{ce99c84c-84fb-42e8-9a8c-1d97cd61a8bb};311 2/2
{5fb27cea-6bc6-411a-b024-bb6d1d369ecd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5fb27cea-6bc6-411a-b024-bb6d1d369ecd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5fb27cea-6bc6-411a-b024-bb6d1d369ecd};2;P;2145;MAT-U-751;{13296416-3327-4e4d-b7eb-73a4f5d5d19c};326
{5fb27cea-6bc6-411a-b024-bb6d1d369ecd};3;K;3.2;KERF;{13296416-3327-4e4d-b7eb-73a4f5d5d19c};326
{5fb27cea-6bc6-411a-b024-bb6d1d369ecd};4;P;2395;MAT-U-752;{fb775a68-a0d0-4905-876a-4b2ce83dca8c};327
{5fb27cea-6bc6-411a-b024-bb6d1d369ecd};5;K;3.2;KERF;{fb775a68-a0d0-4905-876a-4b2ce83dca8c};327
{a1c9315b-9968-499e-901f-933b2ab30c78};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a1c9315b-9968-499e-901f-933b2ab30c78};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a1c9315b-9968-499e-901f-933b2ab30c78};2;P;2075;MAT-U-755;{ccfb1fe7-1b41-414f-a3c8-94784de73591};326
{a1c9315b-9968-499e-901f-933b2ab30c78};3;K;3.2;KERF;{ccfb1fe7-1b41-414f-a3c8-94784de73591};326
{a1c9315b-9968-499e-901f-933b2ab30c78};4;P;2325;MAT-U-756;{00ab97c2-7e5c-4ed4-bb1a-7317ceb5a7ed};327
{a1c9315b-9968-499e-901f-933b2ab30c78};5;K;3.2;KERF;{00ab97c2-7e5c-4ed4-bb1a-7317ceb5a7ed};327
{7f591f11-5a4f-446d-b9ee-fc95f0c40dd0};0;P;2845;MAT-U-758;{08bed1fb-f2e2-4edf-9bc7-f8ea9b313e02};311 1/2
{7f591f11-5a4f-446d-b9ee-fc95f0c40dd0};1;K;3.2;KERF;{08bed1fb-f2e2-4edf-9bc7-f8ea9b313e02};311 1/2
{74c1bd1a-953c-4128-bc55-b92481d6d8b8};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{74c1bd1a-953c-4128-bc55-b92481d6d8b8};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{74c1bd1a-953c-4128-bc55-b92481d6d8b8};2;P;2675;MAT-U-761;{fd539800-f44f-49b0-96eb-40ab21f2c6cc};311 1/2
{74c1bd1a-953c-4128-bc55-b92481d6d8b8};3;K;2;KERF;{fd539800-f44f-49b0-96eb-40ab21f2c6cc};311 1/2
{74c1bd1a-953c-4128-bc55-b92481d6d8b8};4;P;2675;MAT-U-762;{f28c1388-8784-49f5-b056-4130a8d33109};311 2/2
{74c1bd1a-953c-4128-bc55-b92481d6d8b8};5;K;2;KERF;{f28c1388-8784-49f5-b056-4130a8d33109};311 2/2
{af577ce4-4e84-47de-99ca-2c9e574a8773};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{af577ce4-4e84-47de-99ca-2c9e574a8773};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{af577ce4-4e84-47de-99ca-2c9e574a8773};2;P;2780;MAT-U-765;{1ee6314b-4d69-4eea-ac53-4aba9de867ef};325 2/2
{af577ce4-4e84-47de-99ca-2c9e574a8773};3;K;2;KERF;{1ee6314b-4d69-4eea-ac53-4aba9de867ef};325 2/2
{c351458f-81de-420a-8372-cda1d8fa4095};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c351458f-81de-420a-8372-cda1d8fa4095};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c351458f-81de-420a-8372-cda1d8fa4095};2;P;2820;MAT-U-768;{4715e6d3-0353-4936-a292-44cea950155d};311 1/2
{c351458f-81de-420a-8372-cda1d8fa4095};3;K;3.2;KERF;{4715e6d3-0353-4936-a292-44cea950155d};311 1/2
{c351458f-81de-420a-8372-cda1d8fa4095};4;P;2820;MAT-U-769;{ef20b0f7-6594-4253-a644-0f0b34977837};311 2/2
{c351458f-81de-420a-8372-cda1d8fa4095};5;K;3.2;KERF;{ef20b0f7-6594-4253-a644-0f0b34977837};311 2/2
{4e8b2a02-c8fd-4110-96a3-39f4908f3b7c};0;P;2727;MAT-U-771;{4e58778a-1c74-4824-9d6f-278f414fc1cd};311 1/2
{4e8b2a02-c8fd-4110-96a3-39f4908f3b7c};1;K;3.2;KERF;{4e58778a-1c74-4824-9d6f-278f414fc1cd};311 1/2
{015214c6-94b6-44ce-97fd-4b18f2e8379b};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{015214c6-94b6-44ce-97fd-4b18f2e8379b};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{015214c6-94b6-44ce-97fd-4b18f2e8379b};2;P;2356;MAT-U-774;{ae7ffc82-7479-41f0-a418-9ea07f5867b5};327
{015214c6-94b6-44ce-97fd-4b18f2e8379b};3;K;2;KERF;{ae7ffc82-7479-41f0-a418-9ea07f5867b5};327
{9376a4e3-ba44-48f4-846e-28d44f83a24c};0;P;2845;MAT-U-776;{f36d74d5-0e49-413a-837b-1ce672e003fb};311 2/2
{9376a4e3-ba44-48f4-846e-28d44f83a24c};1;K;3.2;KERF;{f36d74d5-0e49-413a-837b-1ce672e003fb};311 2/2
{c9d65b71-464a-453d-b999-1cd60d024a12};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c9d65b71-464a-453d-b999-1cd60d024a12};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c9d65b71-464a-453d-b999-1cd60d024a12};2;P;2280;MAT-U-779;{06a239b1-6d29-4ffc-be31-20d4df6df61a};327
{c9d65b71-464a-453d-b999-1cd60d024a12};3;K;2;KERF;{06a239b1-6d29-4ffc-be31-20d4df6df61a};327
{6acfdf36-f8dc-4231-ab16-8d6647c489aa};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6acfdf36-f8dc-4231-ab16-8d6647c489aa};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6acfdf36-f8dc-4231-ab16-8d6647c489aa};2;P;2727;MAT-U-782;{faedb225-1480-4346-a4c6-80eb5ae70891};311 2/2
{6acfdf36-f8dc-4231-ab16-8d6647c489aa};3;K;3.2;KERF;{faedb225-1480-4346-a4c6-80eb5ae70891};311 2/2
#PIECES
{b47d219f-6f21-449d-9905-7479eb457da5};{f7030234-11ef-4fe7-99d5-f34395a0cca3};1720;NP-BAR12-4000;326
{f62f3f25-f837-43c3-b929-fe875de79996};{bffde481-aa6d-40ef-a420-9d73576d8e8d};2856;NP-ROLL70-5000;325 1/2
{f62f3f25-f837-43c3-b929-fe875de79996};{97f5d467-4820-4040-9a85-4e44a67c3f99};2106;NP-ROLL70-5000;326
{70d0da7c-fd4d-4e34-9568-2803d04075b8};{30a9419c-b91a-4f69-90d0-e11896a77ad7};2895;NP-TF;325 1/2
{70d0da7c-fd4d-4e34-9568-2803d04075b8};{b8a75860-6bca-40c2-bf72-5cb39ae5daa8};2895;NP-TF;325 2/2
{d719a828-da6d-4080-a44b-4d303bb8b1af};{1ad48d92-1317-40e6-b29a-ca72a049119a};2895;NP-T;325 1/2
{d719a828-da6d-4080-a44b-4d303bb8b1af};{2ab586ca-fd15-4e8f-959c-557cc5bd8dc2};2895;NP-T;325 2/2
{5eee5ff7-3af5-4ce1-bef8-47bd1b7c4af1};{a0b54731-3d22-4363-a3cf-61d2285f167a};2856;NP-ROLL70-5000;325 2/2
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};{edfbaf8d-9322-4584-8c02-0d100132cb9c};2825;NP-SZ;325 1/2
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};{72d3533b-079d-4eb2-a477-f26827f4ae62};2825;NP-SZ;325 2/2
{ca0b0474-b01f-41d1-882f-0e7e41c7d4ef};{e0d9743e-25c0-475a-836e-8c202e847136};2048;NP-SL2;325 1/2
{ca0b0474-b01f-41d1-882f-0e7e41c7d4ef};{fcd74d77-3df2-47b8-addc-87b5bd6a6cce};2048;NP-SL2;325 2/2
{fe1d56e3-475f-4807-88e0-aac40556833a};{18d6ab18-ce75-4cd1-b8e0-efa853b413ae};2048;NP-SL2;326
{fe1d56e3-475f-4807-88e0-aac40556833a};{82c10c5c-3ccd-4c7c-8c78-4ca1cb1f8574};2048;NP-SL2;327
{1ba77a6a-1666-4e5f-85a6-873d7c7da797};{07215cae-4811-44a5-8554-68d50cf767b4};285;NP-BAR12-4000;326
{ef947eea-67f4-4f6d-891d-40de9a430efa};{3f947972-511f-4cd5-aea1-8d84c32eb957};2735;NP-ROLL70-5000;311 1/2
{ef947eea-67f4-4f6d-891d-40de9a430efa};{e2f3956d-779d-48b3-8217-8c07526d6bd4};2735;NP-ROLL70-5000;311 2/2
{863efc35-100c-40d5-b427-ebf784aca5dd};{c26ec1b3-1d76-48ad-98cb-eaa4c88c7d8a};2780;NP-BAR12-4000;325 1/2
{e2715f6a-33ee-4dc3-bbaa-fa4fa46f87f2};{4ec1bba6-2850-460b-959d-178beb76c134};2145;NP-TF;326
{e2715f6a-33ee-4dc3-bbaa-fa4fa46f87f2};{98506c37-1a61-4677-bbc1-d51cd450e679};2395;NP-TF;327
{6a9ecae5-076f-4c5a-82b7-f125c64de587};{c8b93803-61b8-4c42-98c8-0ad0f8f483ef};2997;NP-CL2+CLT2+CLB2-9010;311 1/2
{fd239bd1-6337-481c-9ee2-bd0a02538486};{ce99c84c-84fb-42e8-9a8c-1d97cd61a8bb};2997;NP-CL2+CLT2+CLB2-9010;311 2/2
{5fb27cea-6bc6-411a-b024-bb6d1d369ecd};{13296416-3327-4e4d-b7eb-73a4f5d5d19c};2145;NP-T;326
{5fb27cea-6bc6-411a-b024-bb6d1d369ecd};{fb775a68-a0d0-4905-876a-4b2ce83dca8c};2395;NP-T;327
{a1c9315b-9968-499e-901f-933b2ab30c78};{ccfb1fe7-1b41-414f-a3c8-94784de73591};2075;NP-SZ;326
{a1c9315b-9968-499e-901f-933b2ab30c78};{00ab97c2-7e5c-4ed4-bb1a-7317ceb5a7ed};2325;NP-SZ;327
{7f591f11-5a4f-446d-b9ee-fc95f0c40dd0};{08bed1fb-f2e2-4edf-9bc7-f8ea9b313e02};2845;NP-TF-9010;311 1/2
{74c1bd1a-953c-4128-bc55-b92481d6d8b8};{fd539800-f44f-49b0-96eb-40ab21f2c6cc};2675;NP-BAR22-3000;311 1/2
{74c1bd1a-953c-4128-bc55-b92481d6d8b8};{f28c1388-8784-49f5-b056-4130a8d33109};2675;NP-BAR22-3000;311 2/2
{af577ce4-4e84-47de-99ca-2c9e574a8773};{1ee6314b-4d69-4eea-ac53-4aba9de867ef};2780;NP-BAR12-4000;325 2/2
{c351458f-81de-420a-8372-cda1d8fa4095};{4715e6d3-0353-4936-a292-44cea950155d};2820;NP-T-9010;311 1/2
{c351458f-81de-420a-8372-cda1d8fa4095};{ef20b0f7-6594-4253-a644-0f0b34977837};2820;NP-T-9010;311 2/2
{4e8b2a02-c8fd-4110-96a3-39f4908f3b7c};{4e58778a-1c74-4824-9d6f-278f414fc1cd};2727;NP-CZ-9010;311 1/2
{015214c6-94b6-44ce-97fd-4b18f2e8379b};{ae7ffc82-7479-41f0-a418-9ea07f5867b5};2356;NP-ROLL70-5000;327
