#VERSION 2
#CUTPLANS
{c2891489-b3e0-42d1-ab19-89455c5af96d};{52802962-9b50-433f-849f-4ead0509763f};2252;NP-CL2+CLT2+CLB2-9010;303
{c2891489-b3e0-42d1-ab19-89455c5af96d};{05dd58d4-3391-4bd8-b6e7-59e1c6a729d4};2252;NP-CL2+CLT2+CLB2-9010;305
{0d08abf2-e4b4-44af-a4c6-4c73a64bbd10};{c215da53-3e80-49ff-bc39-5194ca11fd75};2509;NP-ROLL70-5000;304
{0d08abf2-e4b4-44af-a4c6-4c73a64bbd10};{f937d5ed-7ac0-4603-8491-0bc04c35b802};2609;NP-ROLL70-5000;305
{9d848d1b-0a4b-48a8-9ebc-4597bed31ce3};{aac23f10-2ebe-4f52-8eae-1581be6c912c};2615;NP-TF-9010;304
{cc9b7cb2-ed2a-44fd-bf7b-e98dba9dfb93};{b8fab3a7-1b72-49e5-ae5b-e061e2145764};2497;NP-CZ-9010;304
{d0c5947f-752f-4967-8aba-2841c7ffcee9};{00873b14-a86d-4908-ab7c-7b41c4310544};2267;NP-CLB2;304
#LEFTOVERS
{ec5e16fd-d7a4-46ae-97eb-1dfd1289ad2e};selejt;0
{50e39999-83e7-4093-974f-409c8ad4701e};selejt;332.2
{96328dfa-7274-43c2-8800-7199036d7fce};selejt;606.8
{33ed2d2b-a996-4227-a89c-77a7c8e4c756};selejt;459.6
{6f8be961-7a36-4aba-85de-07344fa5749d};RST-C-567;823
{d0062f75-0e2a-41aa-93f4-f42a6e411f67};selejt;191.2
{5ec0dad8-2db3-4b69-9b93-aa911c51399b};selejt;629
{d8a533fa-02d1-4406-9e9d-1f0799d10265};selejt;257.2
{893c2403-08d8-48ec-8aeb-ec2d024ef788};RST-C-568;1154
{0d2bd0af-097d-4032-836f-4d64fab54e36};selejt;99
{15803bdf-15e6-4efd-b919-6ed5428c6f60};selejt;274.8
{ddc6de7a-adbc-4331-aa7d-858e2eb95ece};selejt;149
{f32cb381-91c4-48c8-af2a-afc9959ba37b};selejt;695.4
{8ff4dce0-b385-4056-a60d-e87aad79197c};RST-C-569;894.8
{7676f033-b0ea-49d6-ba6f-f4473edcc56a};RST-C-570;2264
{c2891489-b3e0-42d1-ab19-89455c5af96d};RST-C-571;2471.4
{0d08abf2-e4b4-44af-a4c6-4c73a64bbd10};RST-C-572;876
{9d848d1b-0a4b-48a8-9ebc-4597bed31ce3};RST-C-573;3363.6
{cc9b7cb2-ed2a-44fd-bf7b-e98dba9dfb93};RST-C-574;4481.6
{d0c5947f-752f-4967-8aba-2841c7ffcee9};RST-C-575;1419.8
