#VERSION 2
#CUTPLANS
{c8c9ac90-c2f9-44eb-b353-be8ce48d3fd7};{3959f544-5594-4a77-9314-a00faf84221c};1950;NP-TF-9010;241
{c62aa0f3-3e3e-4bb5-9418-77aec93587e3};{a10a0fa5-3a81-4211-947b-b2628d83919f};1807;NP-ROLL70-5000;244
{040b4f58-f8ad-42c6-b5da-8adb6e18dcc2};{4c809bc5-b4b5-40b2-8454-ced18531ecc9};1832;NP-CZ-9010;241
{99bb86e4-d8da-435b-8d44-c1f8eb1f4da0};{1ff7a882-3cdd-4226-8803-2169cfeb81e8};1888;NP-T-7016;244
{2a9d37b0-24c5-4313-9858-214fb919382e};{bc456f7f-85b9-4619-b7e2-17d9c2293da6};2470;NP-BAR12-4000;235
{ab0ecd98-0770-4999-ba1c-da94b2e3e7b0};{481ca33a-5e4a-4a4b-9360-07c53ac65805};1887;NP-CL2+CLT2+CLB2-7016;245
{2cce5e4a-58aa-426c-8d53-177143a14668};{b7b86c2c-90d9-4fc1-8dd5-32792b3a6c4a};2005;NP-TF-7016;245
{8c280d01-8435-44b8-82b2-1dcd3190d7ce};{a268e5ff-e52f-40c1-a4c6-105962d3d62c};2515;NP-SZ-9010;235
{08263e58-1ac6-4a60-a2d2-1b582a77123e};{8d19658e-6342-4c1b-ad48-4e41febe0c88};1832;NP-CL2+CLT2+CLB2-9010;241
#LEFTOVERS
{61691033-57fd-45ca-a618-774a48b0dad9};selejt;0
{df29338b-9d56-42dc-a096-ef05a4b38138};selejt;484
{25db8166-3a54-4078-a2f4-713600c1eef0};selejt;294
{ff29bdf4-2020-485a-85c8-1f143ac393df};selejt;77.2
{2318b7ce-af5f-4179-9835-5c2aa004f891};selejt;77.2
{15c739a1-1be4-4be8-8c9f-bc7ec3e5c3c9};selejt;110
{1604f80e-4de9-4d5e-b504-32e0d956792a};selejt;166
{eafec4a0-648e-4310-a546-f0b86c0f7d82};RST-C-059;959.4
{4db29fd8-52e4-4a25-9578-811c74b27ce5};RST-C-060;323.6
{09dec995-e494-4c41-8fd2-97bb396ec304};selejt;132
{425c3362-02ef-477d-b066-224fbd9833ca};RST-C-061;1538
{cb33827b-86cc-4617-a00a-99827a415b31};selejt;159
{b3efac22-fbcb-461d-8f21-2a878c58c858};RST-C-062;1825.4
{c8e69cc7-56d4-4165-9e82-a6d47909f558};selejt;116.8
{63bbf3d5-6a1c-4661-8a24-29a42579f39f};RST-C-063;1476
{35d4e3bb-3831-44a6-b0b1-f98719f281b3};selejt;126.8
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};RST-C-064;3293.4
{e79a66c2-ae5d-4ec4-b70a-3e99b2bcc820};selejt;158.8
