#VERSION 2
#CUTPLANS
{0b206638-6359-47e5-b721-9f0087068c4b};{78b9f513-a3c9-4ac3-bb95-5f8da71de7bb};3097;NP-CZ;223
{0b206638-6359-47e5-b721-9f0087068c4b};{f6a5fb08-4be2-4f6f-87c2-a4cd03e0791c};1182;NP-CZ;231
{56706446-8796-4f7b-8547-a39c04dfb473};{179938d5-1d28-4b89-9431-076b9a1f523a};1194;NP-ROLL70-5000;231
{51a24b26-bf99-4cab-a424-df3d24498ae3};{50f73fb8-a871-4d6a-b72a-bac4d7cd8b76};1650;NP-T;232
{83c06448-e17b-46c8-8747-18374a4d96ab};{dde1a887-21f8-470f-a86e-f7d34ee40390};1675;NP-TF;232
{45ca1739-90c7-47df-a2d1-e1f203f2d349};{87e29dfd-65ba-48c7-8848-4ca3de14beba};3109;NP-ROLL70-5000;223
{4f9dc357-9886-4d8e-b45d-b7e54e83510c};{d7ef39eb-468f-4666-bffd-0ff567cec588};1180;NP-BAR22-3000;230
#LEFTOVERS
{c81f449a-8496-4f4d-986f-8640e587c8e8};selejt;0
{a385f3ee-8c1a-4e84-a522-3f3379911e20};selejt;0
{b06db6ee-c2a0-412e-ad31-3aafd35945f9};selejt;0
{f5c27a12-1745-4b11-9ba9-62265a127ee6};selejt;182.2
{eb1eb53d-b82b-4895-a9e5-9ee20b62791c};selejt;124.8
{338f577a-caad-43ae-86d4-cba04982b95b};RST-J-307;1104.6
{ad42fff2-dc15-414b-a89e-c783fc944d3b};selejt;149.8
{5b8ad5e4-b3e8-4553-9964-2f267928a7ce};selejt;107.2
{6b0da326-f20f-4d41-9094-1da8884ef200};selejt;99.8
{6838ec02-b9c9-4cb4-aed8-958f26cfbe9f};RST-J-308;833
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};RST-J-309;754
{bb3844bb-5ae0-4628-9cb8-74951aa5d4ac};RST-J-310;1059.8
{9b918cd0-66e2-4699-9655-975da72f3d3a};RST-J-311;2051.4
{f7bac7d5-a013-412a-848b-4fa814acd8cb};RST-J-312;4516.6
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};RST-J-313;2051.4
{bacf5b7a-a04c-4b30-869b-7589d44bf79b};RST-J-314;4516.6
{a95ebe24-f835-461e-9518-fde4dd4af4be};RST-J-315;1066.4
{0b206638-6359-47e5-b721-9f0087068c4b};RST-J-316;2696.4
{56706446-8796-4f7b-8547-a39c04dfb473};RST-J-317;824
{51a24b26-bf99-4cab-a424-df3d24498ae3};RST-J-318;4328.6
{83c06448-e17b-46c8-8747-18374a4d96ab};RST-J-319;4303.6
{45ca1739-90c7-47df-a2d1-e1f203f2d349};RST-J-320;1887
{4f9dc357-9886-4d8e-b45d-b7e54e83510c};selejt;3
