#VERSION 2
#CUTPLANS
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};2;P;1900;MAT-S-723;{e9febae2-2885-45e6-8637-6030e379072e};297
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};3;K;3.2;KERF;{e9febae2-2885-45e6-8637-6030e379072e};297
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};4;P;3750;MAT-S-724;{f4127108-7263-475b-96bd-e3a326fb6540};298
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};5;K;3.2;KERF;{f4127108-7263-475b-96bd-e3a326fb6540};298
{bf37cb67-2422-425e-85b6-28528947205e};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{bf37cb67-2422-425e-85b6-28528947205e};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{bf37cb67-2422-425e-85b6-28528947205e};2;P;2339;MAT-S-727;{e5003ade-b13c-4e5e-a177-b654045b2961};289
{bf37cb67-2422-425e-85b6-28528947205e};3;K;2;KERF;{e5003ade-b13c-4e5e-a177-b654045b2961};289
{bf37cb67-2422-425e-85b6-28528947205e};4;P;2324;MAT-S-728;{770537a8-4d25-44ee-b265-bd131c6c672a};291
{bf37cb67-2422-425e-85b6-28528947205e};5;K;2;KERF;{770537a8-4d25-44ee-b265-bd131c6c672a};291
{d91b6f56-f772-440c-b282-e3b39340ca4a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d91b6f56-f772-440c-b282-e3b39340ca4a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d91b6f56-f772-440c-b282-e3b39340ca4a};2;P;2445;MAT-S-731;{624f88de-c5a5-41da-816b-154eceeeefca};289
{d91b6f56-f772-440c-b282-e3b39340ca4a};3;K;3.2;KERF;{624f88de-c5a5-41da-816b-154eceeeefca};289
{d91b6f56-f772-440c-b282-e3b39340ca4a};4;P;2430;MAT-S-732;{af970d1d-3a31-4e3e-8008-aa0527963212};291
{d91b6f56-f772-440c-b282-e3b39340ca4a};5;K;3.2;KERF;{af970d1d-3a31-4e3e-8008-aa0527963212};291
{145eb8bb-8392-4e48-9156-d2adf6db6920};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{145eb8bb-8392-4e48-9156-d2adf6db6920};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{145eb8bb-8392-4e48-9156-d2adf6db6920};2;P;2275;MAT-S-735;{b3af6fdd-8eb5-4ab0-9ff9-79959f4be4d4};289
{145eb8bb-8392-4e48-9156-d2adf6db6920};3;K;2;KERF;{b3af6fdd-8eb5-4ab0-9ff9-79959f4be4d4};289
{145eb8bb-8392-4e48-9156-d2adf6db6920};4;P;2260;MAT-S-736;{930fdf41-dc55-4114-b507-14a92f562892};291
{145eb8bb-8392-4e48-9156-d2adf6db6920};5;K;2;KERF;{930fdf41-dc55-4114-b507-14a92f562892};291
{94728e3e-2c58-4d27-89e3-30f298ff606d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{94728e3e-2c58-4d27-89e3-30f298ff606d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{94728e3e-2c58-4d27-89e3-30f298ff606d};2;P;2420;MAT-S-739;{21775fdf-7213-4bef-9bd4-c8338c6b722b};289
{94728e3e-2c58-4d27-89e3-30f298ff606d};3;K;3.2;KERF;{21775fdf-7213-4bef-9bd4-c8338c6b722b};289
{94728e3e-2c58-4d27-89e3-30f298ff606d};4;P;2405;MAT-S-740;{79155e7d-107c-4e0f-acb3-f824a3a65a45};291
{94728e3e-2c58-4d27-89e3-30f298ff606d};5;K;3.2;KERF;{79155e7d-107c-4e0f-acb3-f824a3a65a45};291
{50edcecc-7398-43dd-b711-f5a2d0da30ca};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{50edcecc-7398-43dd-b711-f5a2d0da30ca};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{50edcecc-7398-43dd-b711-f5a2d0da30ca};2;P;1807;MAT-S-743;{13885574-fd21-40fa-8ffe-cb32e1264a4b};297
{50edcecc-7398-43dd-b711-f5a2d0da30ca};3;K;3.2;KERF;{13885574-fd21-40fa-8ffe-cb32e1264a4b};297
{0986648f-2e92-4c6a-8f0e-3b2754020c87};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{0986648f-2e92-4c6a-8f0e-3b2754020c87};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{0986648f-2e92-4c6a-8f0e-3b2754020c87};2;P;1819;MAT-S-746;{e83f6db2-f8f4-45a5-9dc8-02fb2622be58};297
{0986648f-2e92-4c6a-8f0e-3b2754020c87};3;K;2;KERF;{e83f6db2-f8f4-45a5-9dc8-02fb2622be58};297
{c672979c-7389-495e-a1e7-4a664363ced0};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c672979c-7389-495e-a1e7-4a664363ced0};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c672979c-7389-495e-a1e7-4a664363ced0};2;P;3669;MAT-S-749;{172414de-f715-4fbd-aa67-00b09d5d0aa2};298
{c672979c-7389-495e-a1e7-4a664363ced0};3;K;2;KERF;{172414de-f715-4fbd-aa67-00b09d5d0aa2};298
#PIECES
{9c6760ae-0dc8-45e5-a4a9-9b310c996378};{55f2efc8-bd77-4e88-a5eb-9619a3518c97};1525;NP-BAR22-3000;297
