#VERSION 2
#CUTPLANS
{32615160-219d-444a-8e83-2d5c9092f460};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{32615160-219d-444a-8e83-2d5c9092f460};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{32615160-219d-444a-8e83-2d5c9092f460};2;P;1925;MAT-S-579;{47491192-8a5a-497a-a698-92ffcc4e23e9};297
{32615160-219d-444a-8e83-2d5c9092f460};3;K;3.2;KERF;{47491192-8a5a-497a-a698-92ffcc4e23e9};297
{32615160-219d-444a-8e83-2d5c9092f460};4;P;3775;MAT-S-580;{6ef89a43-c5bf-4995-b750-539e7603d168};298
{32615160-219d-444a-8e83-2d5c9092f460};5;K;3.2;KERF;{6ef89a43-c5bf-4995-b750-539e7603d168};298
{77bb2fb1-4f70-47ae-ba20-106faf246b31};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{77bb2fb1-4f70-47ae-ba20-106faf246b31};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{77bb2fb1-4f70-47ae-ba20-106faf246b31};2;P;2339;MAT-S-583;{429ef8e2-2b48-4386-9d9d-a6bf069505e3};289
{77bb2fb1-4f70-47ae-ba20-106faf246b31};3;K;2;KERF;{429ef8e2-2b48-4386-9d9d-a6bf069505e3};289
{77bb2fb1-4f70-47ae-ba20-106faf246b31};4;P;2324;MAT-S-584;{e6fe6a5f-b7a7-4005-9b83-0d867ceedc5a};291
{77bb2fb1-4f70-47ae-ba20-106faf246b31};5;K;2;KERF;{e6fe6a5f-b7a7-4005-9b83-0d867ceedc5a};291
{1a22ce31-e515-4469-8471-b52d7fa940a5};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{1a22ce31-e515-4469-8471-b52d7fa940a5};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{1a22ce31-e515-4469-8471-b52d7fa940a5};2;P;2275;MAT-S-587;{3900dcfb-f1f1-4b5b-a53c-54d4352f2b13};289
{1a22ce31-e515-4469-8471-b52d7fa940a5};3;K;2;KERF;{3900dcfb-f1f1-4b5b-a53c-54d4352f2b13};289
{1a22ce31-e515-4469-8471-b52d7fa940a5};4;P;2260;MAT-S-588;{536339ac-8c24-413f-92f3-86d5c2f2cc98};291
{1a22ce31-e515-4469-8471-b52d7fa940a5};5;K;2;KERF;{536339ac-8c24-413f-92f3-86d5c2f2cc98};291
