#VERSION 2
#CUTPLANS
{06f2f4ec-e812-4a7b-921c-9031517fd566};47;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;39163732;;RSM-561;1305
{663055c7-553f-48c2-9f4d-eed2c4c59c1f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{663055c7-553f-48c2-9f4d-eed2c4c59c1f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{663055c7-553f-48c2-9f4d-eed2c4c59c1f};2;P;2867;MAT-P-136;{94d7c069-de9c-4652-871e-e55f5e9aaff3};209
{663055c7-553f-48c2-9f4d-eed2c4c59c1f};3;K;3.2;KERF;{94d7c069-de9c-4652-871e-e55f5e9aaff3};209
{ccb7890a-2bdb-4158-95d1-03733bf233c7};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{ccb7890a-2bdb-4158-95d1-03733bf233c7};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{ccb7890a-2bdb-4158-95d1-03733bf233c7};2;P;2415;MAT-P-139;{e8f5c49e-e8df-4c7c-9acf-0bc71999d685};192
{ccb7890a-2bdb-4158-95d1-03733bf233c7};3;K;2;KERF;{e8f5c49e-e8df-4c7c-9acf-0bc71999d685};192
{93ebae55-43fe-4523-97b0-fe9c6dc8a681};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{93ebae55-43fe-4523-97b0-fe9c6dc8a681};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{93ebae55-43fe-4523-97b0-fe9c6dc8a681};2;P;2867;MAT-P-142;{e6997963-50d6-4723-82d0-05b22961dc50};209
{93ebae55-43fe-4523-97b0-fe9c6dc8a681};3;K;3.2;KERF;{e6997963-50d6-4723-82d0-05b22961dc50};209
#PIECES
{06f2f4ec-e812-4a7b-921c-9031517fd566};{58606ce5-7a31-4bb8-a898-47db2dfd0268};1305;NP-BAR12-4000;206
{ed222363-4537-4949-8077-296711c767f1};{03d38cc1-0a04-4502-a062-601eaabe7f7f};1588;NP-ROLL70-7000;204
{ed222363-4537-4949-8077-296711c767f1};{cd4545e1-225e-40b6-b5ed-2b88e39bded3};1598;NP-ROLL70-7000;205
{b99b7d0f-55da-45e3-9a39-db63952480e6};{d7ec7b84-2bd1-4001-b4c5-c41ee68629a8};1570;NP-BAR12-4000;205
{b99b7d0f-55da-45e3-9a39-db63952480e6};{6b471189-c76d-493c-af67-2cea3e8ac3da};100;NP-BAR12-4000;206
{64091e06-6e0d-474e-922b-0fcc49717fa3};{fe583711-8f22-461d-8823-18e97ccebe76};1640;NP-T;204
{64091e06-6e0d-474e-922b-0fcc49717fa3};{dcbb98d4-7f9c-4443-bcb6-9f5f57c2f6dc};1650;NP-T;205
{4905f1ce-14b9-4f22-8130-724cf6995456};{5d1e8dbb-8e33-4baf-9c68-a47f3f88a968};1615;NP-SZ;205
{166bd218-48fc-4179-ae36-a15fa9363c24};{b0eb9d1b-a9e8-48a9-abe2-be84fe740ff3};1458;NP-ROLL70-7000;206
{abe7b06e-317b-41bb-89a6-a3f5b6f676d9};{ac69897a-6678-45c7-a2ca-36a2e02036c1};1650;NP-TF;205
{72eced10-14e5-4cac-9b43-27f2d1a3dd51};{b3a3b669-4cbf-4602-8b09-a1659acccbf9};1605;NP-SZ;204
{2a2397ee-f796-4b55-b405-7b1d1ef9bd4a};{8dc9417c-eb1e-42bd-8800-96c6a0cee770};2834;NP-ROLL70-7000;209
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};{ddad82df-182b-4438-a3fe-09b67254d28e};2495;NP-TF-9010;192
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};{751d04b9-a32f-4bcc-8bef-75c477ddad51};2940;NP-TF-9010;209
{0079e28e-b09f-4797-9363-02b46a987cb2};{1969afd5-343d-4e7c-9779-e3be7db52770};1560;NP-BAR12-4000;204
{d01c01b4-6153-4981-b8fd-7a8e47347f86};{e9be9ef3-8d4a-4a84-afa0-12c1b80fe421};2495;NP-T-9010;192
{d01c01b4-6153-4981-b8fd-7a8e47347f86};{be5af2c1-74e9-4664-8f1e-19a8e7280c0a};2915;NP-T-9010;209
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};{3ee71aa9-e8b7-45a6-987c-6d6925e7f3a7};1640;NP-TF;204
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};{f5110567-abb2-47f1-ba67-f366e643e8db};1510;NP-TF;206
{234cd429-7039-4386-b036-a3b084cac1f3};{7b4387c6-5776-477b-8e3d-bb3e21708f06};2822;NP-CZ-9010;209
{ec142f58-5c99-4a84-97bc-b6255b240102};{46226d5f-42e7-462a-af11-fab695f79a6d};2770;NP-BAR20-6000;209
{6bd1b0e9-6d95-4dc9-9ccc-97bd42b4a442};{0ca44d37-49b7-4977-9ff1-7be6e9c40c36};1510;NP-T;206
{a700079b-3355-4ccc-87a2-54dbf5a2aaaa};{9b5d4ac6-f5de-4226-9f49-393be5db98ba};1475;NP-SZ;206
{0ff9fe2c-8bd5-4f25-98d2-e348ffc62e1b};{953b4456-086a-469b-b4c7-cb4e309cb61b};2867;NP-CLT-9010;209
{d3d57835-5ee3-4d66-b269-013cafcbf823};{be9865be-559b-4dba-a76a-cb9a900b4213};2443;NP-ROLL70-7000;192
{e6c0ee41-bedb-4b0f-bd94-f0eef624966f};{55fc8203-6c6f-4d34-a843-a92549cdb010};2460;NP-SZ-9010;192
{663055c7-553f-48c2-9f4d-eed2c4c59c1f};{94d7c069-de9c-4652-871e-e55f5e9aaff3};2867;NP-CL-9010;209
{ccb7890a-2bdb-4158-95d1-03733bf233c7};{e8f5c49e-e8df-4c7c-9acf-0bc71999d685};2415;NP-BAR12-4000;192
{93ebae55-43fe-4523-97b0-fe9c6dc8a681};{e6997963-50d6-4723-82d0-05b22961dc50};2867;NP-CLB;209
#LEFTOVERS
{06f2f4ec-e812-4a7b-921c-9031517fd566};selejt;0
{ed222363-4537-4949-8077-296711c767f1};selejt;460
{b99b7d0f-55da-45e3-9a39-db63952480e6};selejt;6
{64091e06-6e0d-474e-922b-0fcc49717fa3};selejt;603.6
{4905f1ce-14b9-4f22-8130-724cf6995456};selejt;361.8
{166bd218-48fc-4179-ae36-a15fa9363c24};selejt;560
{abe7b06e-317b-41bb-89a6-a3f5b6f676d9};selejt;546.8
{72eced10-14e5-4cac-9b43-27f2d1a3dd51};selejt;416.8
{2a2397ee-f796-4b55-b405-7b1d1ef9bd4a};RST-B-795;2162
{d6d2dece-38f5-41fe-8a3f-02368d15ac47};selejt;540.4
{0079e28e-b09f-4797-9363-02b46a987cb2};selejt;78
{d01c01b4-6153-4981-b8fd-7a8e47347f86};selejt;565.4
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};RST-B-796;2825.4
{234cd429-7039-4386-b036-a3b084cac1f3};RST-B-797;1999.8
{ec142f58-5c99-4a84-97bc-b6255b240102};RST-B-798;3376
{6bd1b0e9-6d95-4dc9-9ccc-97bd42b4a442};selejt;486.8
{a700079b-3355-4ccc-87a2-54dbf5a2aaaa};RST-B-799;4503.6
{0ff9fe2c-8bd5-4f25-98d2-e348ffc62e1b};RST-B-800;4111.6
{d3d57835-5ee3-4d66-b269-013cafcbf823};RST-B-801;2553
{e6c0ee41-bedb-4b0f-bd94-f0eef624966f};selejt;211.8
{663055c7-553f-48c2-9f4d-eed2c4c59c1f};RST-B-802;4111.6
{ccb7890a-2bdb-4158-95d1-03733bf233c7};RST-B-803;1581
{93ebae55-43fe-4523-97b0-fe9c6dc8a681};RST-B-804;3126.6
