#VERSION 2
#CUTPLANS
{8641df30-2542-4b7f-9261-6d51b9249689};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8641df30-2542-4b7f-9261-6d51b9249689};2;P;2252;MAT-U-490;{a1a02940-dd19-463b-ae48-a38c18e2828f};303
{8641df30-2542-4b7f-9261-6d51b9249689};3;K;3.2;KERF;{a1a02940-dd19-463b-ae48-a38c18e2828f};303
{8641df30-2542-4b7f-9261-6d51b9249689};4;P;2252;MAT-U-491;{afc4a0d9-5e63-4a59-af9f-5f2790e16729};305
{8641df30-2542-4b7f-9261-6d51b9249689};5;K;3.2;KERF;{afc4a0d9-5e63-4a59-af9f-5f2790e16729};305
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};2;P;2509;MAT-U-494;{72e8ffec-078b-49ef-85ff-6d80d71d67f5};304
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};3;K;2;KERF;{72e8ffec-078b-49ef-85ff-6d80d71d67f5};304
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};4;P;2609;MAT-U-495;{99d5a8f9-669d-4439-8a17-910ce78e7f5e};305
{01a95aa0-64ac-420a-8ab9-7e3ee88dc4b0};5;K;2;KERF;{99d5a8f9-669d-4439-8a17-910ce78e7f5e};305
{b48c139b-8279-4261-8858-68bf6c079081};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b48c139b-8279-4261-8858-68bf6c079081};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b48c139b-8279-4261-8858-68bf6c079081};2;P;1470;MAT-U-498;{b640f106-ea51-4c66-a2a2-ce9518231bd5};301
{b48c139b-8279-4261-8858-68bf6c079081};3;K;3.2;KERF;{b640f106-ea51-4c66-a2a2-ce9518231bd5};301
{73398d37-6856-4b2c-ba9c-3148af26c04b};0;P;1967;MAT-U-500;{6cc38cb1-0e80-4c6c-af8d-7b956a8fe0a7};302
{73398d37-6856-4b2c-ba9c-3148af26c04b};1;K;3.2;KERF;{6cc38cb1-0e80-4c6c-af8d-7b956a8fe0a7};302
{13f718d9-5f6c-4c23-b8e2-4f7a1a7f4ac6};0;P;2267;MAT-U-502;{b4ce2f21-4381-4178-b6bd-5c671c33da4a};304
