#VERSION 2
#CUTPLANS
{a535e25c-6044-4ce6-8c3e-c72cee7a3de6};{fdb83f39-1fba-428b-80cc-723ee8a9b5c8};2462;NP-CL2+CLT2+CLB2;232
#LEFTOVERS
{6531c17d-ffac-4082-9930-95fb242f624e};selejt;0
{4b56a37e-657d-4e71-a86c-ca4136528c59};selejt;0
{4f9f92d2-ff07-475e-9a9c-1c16ba304e6e};selejt;0
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};selejt;107.2
{11f44652-7415-4b40-9770-1dce877d1877};RST-J-383;1104.6
{03d31a3b-062d-45df-8b92-0422e7023bd8};RST-J-384;754
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};selejt;182.2
{bfda4826-fd4a-48ee-9adb-f92f224de3a3};RST-J-385;833
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};selejt;401.2
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};RST-J-386;2696.4
{66b0c1d8-852f-4701-80a7-cbef669ac26f};RST-J-387;824
{8b8258b8-9b87-40b7-bb86-f6b296f7db2e};RST-J-388;4303.6
{065b4d05-512d-4dff-ad29-f59dbf411b6f};selejt;3
{f7ebc4af-f7d3-4713-87ac-3483b4a13922};RST-J-389;4328.6
{99ec6aab-9db3-4ad6-b65a-f17f5de12bde};RST-J-390;1887
{a535e25c-6044-4ce6-8c3e-c72cee7a3de6};RST-J-391;4516.6
