#VERSION 2
#CUTPLANS
{ca6f0648-676c-4269-8542-6b81609a30cb};{a76c9766-7e3c-40ca-97fa-3655fa3d6822};2462;NP-CLT;230
{ca6f0648-676c-4269-8542-6b81609a30cb};{6ddb73ef-fc97-43ec-a3f6-39d3ae773a4f};2462;NP-CLT;231
{7176c77b-4c65-4a63-ae26-a0c3de4f0b5c};{e00b4f68-9287-40ab-9112-56e250c332ee};2462;NP-CLT;232
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};{7aa3ead0-387f-4884-bc77-adf4a5dee86e};2462;NP-CLB;231
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};{e2229063-2a10-43a9-8bf8-c5aa755e664e};2462;NP-CLB;232
{128bf27e-e405-4662-8ade-1efd52b430d2};{1a45e665-30a2-4a06-9ffa-740684ff7342};1194;NP-ROLL70-5000;231
{a0d34567-93a9-440c-adae-a02cd9a6c73a};{1635a1b8-9807-4978-af1a-c57733cd7720};3097;NP-CZ;223
{a0d34567-93a9-440c-adae-a02cd9a6c73a};{3235c81c-8390-4776-8984-184a43d02c37};1182;NP-CZ;231
{117168d3-daf5-4fd7-82fb-810533bf2ff9};{7c8c4bfc-c935-4c04-863d-4c84577f9d5a};1675;NP-TF;232
{69afe432-5fdb-4b5d-98a1-105cc2c1ab38};{af13d3e8-4f97-4be2-a75d-814d7cdb891e};1650;NP-T;232
{e820a256-16f9-4f27-aa67-4d3adfeed567};{2e894ab0-c19f-4272-bfab-0d057357cd4d};3109;NP-ROLL70-5000;223
{6516064d-a66a-4d85-ab05-6603e7772529};{b226009f-6eb1-4a84-b41a-60c64b520926};1180;NP-BAR22-3000;230
#LEFTOVERS
{098328c5-4e23-4d5c-bc03-8d0ded0cad23};selejt;0
{acfdb782-2ef7-4b50-99a4-de5fff23eed7};selejt;0
{6628fd9c-d066-477b-b0cd-9444a12cb2ca};selejt;0
{eedd49bf-e62c-47df-aca1-240533d05093};selejt;124.8
{85cc8a9f-deab-4901-a0d6-aeecc7924c83};selejt;107.2
{71e34fc5-2255-487b-9d43-cf3dbebfebef};selejt;149.8
{2654f9db-aca4-4594-9ee8-b287b79f3e80};selejt;182.2
{df2d3c6a-804b-48a1-b174-4fb6367261e8};RST-J-335;833
{1846c719-e7c3-4bc0-bcb2-e24994ce3690};RST-J-336;1104.6
{116604ed-248b-4c21-9f02-e42022b1cbbd};RST-J-337;754
{ec20c857-d199-43c2-9b25-78e2fb7df0f7};selejt;99.8
{7a3de7ae-f30f-44e3-87eb-b807e0f5e6ca};RST-J-338;1059.8
{da9f59f3-7511-47c9-93f5-366b6be10559};RST-J-339;2051.4
{6d2191d0-46b5-4254-80b1-9188dd41951a};RST-J-340;4516.6
{ca6f0648-676c-4269-8542-6b81609a30cb};RST-J-341;2051.4
{7176c77b-4c65-4a63-ae26-a0c3de4f0b5c};RST-J-342;4516.6
{4d4bc456-2d20-4d36-8eb9-103ff33fa9c6};RST-J-343;1066.4
{128bf27e-e405-4662-8ade-1efd52b430d2};RST-J-344;824
{a0d34567-93a9-440c-adae-a02cd9a6c73a};RST-J-345;2696.4
{117168d3-daf5-4fd7-82fb-810533bf2ff9};RST-J-346;4303.6
{69afe432-5fdb-4b5d-98a1-105cc2c1ab38};RST-J-347;4328.6
{e820a256-16f9-4f27-aa67-4d3adfeed567};RST-J-348;1887
{6516064d-a66a-4d85-ab05-6603e7772529};selejt;3
