materialBarCode;availableLength_mm;source;optimizationId;barcode;storageBarcode;createdAt;lastSeenAt;status;notFoundCount
NP-CL;1050;Manual;;RSM-302;CM2WH;2026-07-01T09:36:07;2026-07-01T09:36:07;unknown;0
NP-SZ-9010;4950;Manual;;RSM-319;CM2WH;2026-07-03T09:28:18;2026-07-03T09:28:18;unknown;0
NP-SZ-9010;5050;Manual;;RSM-320;CM2WH;2026-07-03T09:28:34;2026-07-03T09:28:34;unknown;0
NP-SZ;1025;Manual;;RSM-321;CM2WH;2026-07-03T09:28:51;2026-07-03T09:28:51;unknown;0
NP-SZ;1000;Manual;;RSM-322;CM2WH;2026-07-03T09:29:03;2026-07-03T09:29:03;unknown;0
NP-SZ;1275;Manual;;RSM-323;CM2WH;2026-07-03T09:29:13;2026-07-03T09:29:13;unknown;0
NP-TF-9010;950;Manual;;RSM-324;CM2WH;2026-07-03T09:29:41;2026-07-03T09:29:41;unknown;0
NP-T-9010;975;Manual;;RSM-325;CM2WH;2026-07-03T09:29:55;2026-07-03T09:29:55;unknown;0
NP-T;1340;Manual;;RSM-327;CM2WH;2026-07-07T08:09:28;2026-07-07T08:09:28;unknown;0
NP-CL;950;Manual;;RSM-328;CM2WH;2026-07-07T08:09:47;2026-07-07T08:09:47;unknown;0
NP-CL;925;Manual;;RSM-330;CM2WH;2026-07-07T08:10:12;2026-07-07T08:10:12;unknown;0
NP-CL;850;Manual;;RSM-331;CM2WH;2026-07-07T08:10:22;2026-07-24T13:25:54;unknown;0
NP-CL-7016;1625;Manual;;RSM-332;CM2WH;2026-07-07T08:10:47;2026-07-07T08:10:47;unknown;0
NP-CL-7016;1675;Manual;;RSM-333;CM2WH;2026-07-07T08:11:01;2026-07-07T08:11:01;unknown;0
NP-CL-7016;1325;Manual;;RSM-334;CM2WH;2026-07-07T08:11:13;2026-07-07T08:11:13;unknown;0
NP-T-7016;2450;Manual;;RSM-338;CM2WH;2026-07-07T08:12:28;2026-07-07T08:12:28;unknown;0
NP-TF-7016;2425;Manual;;RSM-340;CM2WH;2026-07-07T08:12:56;2026-07-07T08:12:56;unknown;1
NP-TF-7016;2400;Manual;;RSM-341;CM2WH;2026-07-07T08:13:03;2026-07-07T08:13:03;unknown;0
NP-CZ;950;Manual;;RSM-343;CM2WH;2026-07-07T08:47:35;2026-07-07T08:47:35;unknown;0
NP-CZ-7016;825;Manual;;RSM-344;CM2WH;2026-07-07T08:47:57;2026-07-07T08:47:57;unknown;0
NP-T;1400;Manual;;RSM-345;CM2WH;2026-07-07T08:48:12;2026-07-07T08:48:12;unknown;0
NP-T;1325;Manual;;RSM-346;CM2WH;2026-07-07T08:48:19;2026-07-24T15:42:10;unknown;0
NP-TF;1310;Manual;;RSM-347;CM2WH;2026-07-07T08:48:34;2026-07-24T13:25:57;unknown;0
NP-CLB;1800;Manual;;RSM-351;CM2WH;2026-07-07T08:49:44;2026-07-07T08:49:44;unknown;0
NP-CLB;1350;Manual;;RSM-354;CM2WH;2026-07-07T08:50:01;2026-07-07T08:50:01;unknown;0
NP-CLB;1200;Manual;;RSM-355;CM2WH;2026-07-07T08:50:05;2026-07-07T08:50:05;unknown;0
NP-ROLL70-7000;1530;Manual;;RSM-358;CM1WH;2026-07-08T09:04:33;2026-07-24T13:25:46;unknown;0
NP-ROLL70-7000;900;Manual;;RSM-361;CM1WH;2026-07-08T09:04:59;2026-07-08T09:04:59;unknown;0
NP-ROLL70-7000;720;Manual;;RSM-365;CM1WH;2026-07-08T09:05:32;2026-07-08T09:05:32;unknown;0
